feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 2.496129 4.295280 159.275 0.369 132340
handcrafted-lfcc-fused-early 0 2 1.209694 6.643803 161.991 0.405 135173
handcrafted-lfcc-fused-early 0 3 1.107601 7.522612 139.749 0.416 137073
handcrafted-lfcc-fused-early 0 4 1.088721 7.820749 149.647 0.417 135300
handcrafted-lfcc-fused-early 0 5 1.065674 8.051922 155.316 0.422 135610
handcrafted-lfcc-fused-early 0 6 1.055089 8.116078 165.198 0.424 136935
handcrafted-lfcc-fused-early 0 7 1.029704 8.235750 161.246 0.424 137563
handcrafted-lfcc-fused-early 0 8 1.020559 8.314334 160.717 0.420 134902
handcrafted-lfcc-fused-early 0 9 1.026594 8.571878 163.925 0.426 139471
handcrafted-lfcc-fused-early 0 10 1.010253 8.558489 147.256 0.420 134917
handcrafted-lfcc-fused-early 0 11 0.989877 8.707367 145.710 0.419 134827
handcrafted-lfcc-fused-early 1 1 3.886302 1.925979 74.517 0.334 132087
handcrafted-lfcc-fused-early 1 2 2.409158 2.422446 81.241 0.348 132992
handcrafted-lfcc-fused-early 1 3 1.307302 2.954757 84.251 0.366 134144
handcrafted-lfcc-fused-early 1 4 0.511575 3.939384 84.185 0.383 134968
handcrafted-lfcc-fused-early 1 5 0.167652 4.820656 94.161 0.402 136157
handcrafted-lfcc-fused-early 1 6 0.058210 5.688384 85.577 0.418 137386
handcrafted-lfcc-fused-early 1 7 0.022874 6.387480 92.075 0.425 137506
handcrafted-lfcc-fused-early 1 8 0.011851 6.842354 90.831 0.435 138560
handcrafted-lfcc-fused-early 1 9 0.007368 7.197592 90.958 0.438 138073
handcrafted-lfcc-fused-early 1 10 0.005411 7.479673 82.013 0.441 138791
handcrafted-lfcc-fused-early 1 11 0.004101 7.683475 89.796 0.445 139419
handcrafted-lfcc-fused-early 2 1 3.886302 1.925979 99.851 0.334 132087
handcrafted-lfcc-fused-early 2 2 2.409158 2.422446 101.238 0.348 132992
handcrafted-lfcc-fused-early 2 3 1.307302 2.954757 107.542 0.366 134144
handcrafted-lfcc-fused-early 2 4 0.511575 3.939384 103.478 0.383 134968
handcrafted-lfcc-fused-early 2 5 0.167652 4.820656 98.676 0.402 136157
handcrafted-lfcc-fused-early 2 6 0.058210 5.688384 79.745 0.418 137386
handcrafted-lfcc-fused-early 2 7 0.022874 6.387480 93.544 0.425 137506
handcrafted-lfcc-fused-early 2 8 0.011851 6.842354 80.898 0.435 138560
handcrafted-lfcc-fused-early 2 9 0.007368 7.197592 83.924 0.438 138073
handcrafted-lfcc-fused-early 2 10 0.005411 7.479673 89.049 0.441 138791
handcrafted-lfcc-fused-early 2 11 0.004101 7.683475 82.412 0.445 139419
handcrafted-lfcc-fused-early 3 1 3.886302 1.925979 66.282 0.334 132087
handcrafted-lfcc-fused-early 3 2 2.409158 2.422446 69.835 0.348 132992
handcrafted-lfcc-fused-early 3 3 1.307302 2.954757 69.896 0.366 134144
handcrafted-lfcc-fused-early 3 4 0.511575 3.939384 69.978 0.383 134968
handcrafted-lfcc-fused-early 3 5 0.167652 4.820656 69.257 0.402 136157
handcrafted-lfcc-fused-early 3 6 0.058210 5.688384 77.579 0.418 137386
handcrafted-lfcc-fused-early 3 7 0.022874 6.387480 89.995 0.425 137506
handcrafted-lfcc-fused-early 3 8 0.011851 6.842354 77.359 0.435 138560
handcrafted-lfcc-fused-early 3 9 0.007368 7.197592 88.431 0.438 138073
handcrafted-lfcc-fused-early 3 10 0.005411 7.479673 77.571 0.441 138791
handcrafted-lfcc-fused-early 3 11 0.004101 7.683475 76.756 0.445 139419
handcrafted-lfcc-fused-early 4 1 3.886302 1.925979 82.936 0.334 132087
handcrafted-lfcc-fused-early 4 2 2.409158 2.422446 82.616 0.348 132992
handcrafted-lfcc-fused-early 4 3 1.307302 2.954757 84.193 0.366 134144
handcrafted-lfcc-fused-early 4 4 0.511575 3.939384 87.078 0.383 134968
handcrafted-lfcc-fused-early 4 5 0.167652 4.820656 86.993 0.402 136157
handcrafted-lfcc-fused-early 4 6 0.058210 5.688384 87.347 0.418 137386
handcrafted-lfcc-fused-early 4 7 0.022874 6.387480 87.309 0.425 137506
handcrafted-lfcc-fused-early 4 8 0.011851 6.842354 89.032 0.435 138560
handcrafted-lfcc-fused-early 4 9 0.007368 7.197592 86.930 0.438 138073
handcrafted-lfcc-fused-early 4 10 0.005411 7.479673 85.720 0.441 138791
handcrafted-lfcc-fused-early 4 11 0.004101 7.683475 89.083 0.445 139419
