feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 1.800923 4.317709 160.204 0.237 80917
handcrafted-lfcc-fused-early 0 2 0.710194 5.847872 163.965 0.219 70453
handcrafted-lfcc-fused-early 0 3 0.401961 7.007740 161.726 0.281 84846
handcrafted-lfcc-fused-early 0 4 0.269944 7.486314 165.546 0.292 87833
handcrafted-lfcc-fused-early 0 5 0.195199 7.632644 167.644 0.284 83424
handcrafted-lfcc-fused-early 0 6 0.146322 7.802411 150.061 0.321 94226
handcrafted-lfcc-fused-early 0 7 0.117799 7.910686 152.631 0.308 88792
handcrafted-lfcc-fused-early 0 8 0.087743 8.071739 141.556 0.345 99992
handcrafted-lfcc-fused-early 0 9 0.071127 8.167830 131.721 0.325 91696
handcrafted-lfcc-fused-early 0 10 0.051048 8.332426 130.066 0.339 94834
handcrafted-lfcc-fused-early 0 11 0.043087 8.397090 123.482 0.320 90185
handcrafted-lfcc-fused-early 1 1 1.474442 4.818405 139.240 0.231 81572
handcrafted-lfcc-fused-early 1 2 0.570749 6.159038 156.504 0.250 81931
handcrafted-lfcc-fused-early 1 3 0.296839 7.248264 159.984 0.292 91065
handcrafted-lfcc-fused-early 1 4 0.183148 7.826417 163.809 0.304 92839
handcrafted-lfcc-fused-early 1 5 0.129929 8.145988 162.830 0.322 95758
handcrafted-lfcc-fused-early 1 6 0.093311 8.427903 136.943 0.312 91628
handcrafted-lfcc-fused-early 1 7 0.069842 8.650782 149.485 0.334 97088
handcrafted-lfcc-fused-early 1 8 0.052475 8.847419 162.634 0.327 95395
handcrafted-lfcc-fused-early 1 9 0.039468 9.016108 154.598 0.349 101708
handcrafted-lfcc-fused-early 1 10 0.030501 9.137979 142.646 0.357 103381
handcrafted-lfcc-fused-early 1 11 0.024419 9.286523 131.356 0.350 99359
handcrafted-lfcc-fused-early 2 1 1.607716 4.523883 207.169 0.214 73256
handcrafted-lfcc-fused-early 2 2 0.526523 5.860806 164.837 0.267 85223
handcrafted-lfcc-fused-early 2 3 0.223185 6.961379 178.163 0.278 84181
handcrafted-lfcc-fused-early 2 4 0.115931 7.389301 197.530 0.312 94385
handcrafted-lfcc-fused-early 2 5 0.071825 7.622628 161.659 0.294 86961
handcrafted-lfcc-fused-early 2 6 0.047358 7.783560 151.146 0.328 96211
handcrafted-lfcc-fused-early 2 7 0.032756 7.953827 149.457 0.308 88252
handcrafted-lfcc-fused-early 2 8 0.024499 8.107777 152.497 0.330 93244
handcrafted-lfcc-fused-early 2 9 0.018964 8.228933 150.351 0.342 98248
handcrafted-lfcc-fused-early 2 10 0.014269 8.318925 127.583 0.349 100263
handcrafted-lfcc-fused-early 2 11 0.011851 8.390389 116.721 0.344 95689
handcrafted-lfcc-fused-early 3 1 1.572683 5.389000 176.999 0.194 67437
handcrafted-lfcc-fused-early 3 2 0.474531 7.545002 162.852 0.250 79894
handcrafted-lfcc-fused-early 3 3 0.211669 9.017592 171.500 0.248 73872
handcrafted-lfcc-fused-early 3 4 0.119049 9.529841 222.609 0.290 86269
handcrafted-lfcc-fused-early 3 5 0.074756 9.776262 193.795 0.276 79681
handcrafted-lfcc-fused-early 3 6 0.050645 9.986684 207.495 0.297 84473
handcrafted-lfcc-fused-early 3 7 0.035890 10.162249 215.352 0.286 81087
handcrafted-lfcc-fused-early 3 8 0.025768 10.316860 145.450 0.306 85025
handcrafted-lfcc-fused-early 3 9 0.020052 10.482675 150.538 0.311 87914
handcrafted-lfcc-fused-early 3 10 0.016098 10.612856 140.317 0.332 94164
handcrafted-lfcc-fused-early 3 11 0.013225 10.768510 122.321 0.325 89513
handcrafted-lfcc-fused-early 4 1 1.349724 3.020106 74.073 0.228 84018
handcrafted-lfcc-fused-early 4 2 0.454522 3.377679 74.857 0.232 81308
handcrafted-lfcc-fused-early 4 3 0.129847 3.782661 74.080 0.270 91881
handcrafted-lfcc-fused-early 4 4 0.046731 4.166935 90.882 0.287 95192
handcrafted-lfcc-fused-early 4 5 0.019126 4.486294 78.156 0.313 101344
handcrafted-lfcc-fused-early 4 6 0.011062 4.757180 82.008 0.308 97981
handcrafted-lfcc-fused-early 4 7 0.006173 4.966284 75.290 0.330 103176
handcrafted-lfcc-fused-early 4 8 0.004096 5.134746 74.258 0.332 103615
handcrafted-lfcc-fused-early 4 9 0.003155 5.256043 76.375 0.319 98355
handcrafted-lfcc-fused-early 4 10 0.002142 5.344591 74.722 0.350 108199
handcrafted-lfcc-fused-early 4 11 0.001785 5.412109 76.069 0.332 102074
