feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 2.277591 nan 470.847 0.332 129761
handcrafted-lfcc-fused-early 0 2 2.003218 nan 258.025 0.333 129874
handcrafted-lfcc-fused-early 0 3 1.962471 nan 301.242 0.338 131048
handcrafted-lfcc-fused-early 0 4 1.934735 nan 505.711 0.342 130391
handcrafted-lfcc-fused-early 0 5 1.907193 nan 398.544 0.338 131063
handcrafted-lfcc-fused-early 0 6 1.905786 nan 257.612 0.333 128940
handcrafted-lfcc-fused-early 0 7 1.859507 nan 316.522 0.338 131078
handcrafted-lfcc-fused-early 0 8 1.860964 nan 329.388 0.339 130181
handcrafted-lfcc-fused-early 0 9 1.844229 nan 259.699 0.337 129165
handcrafted-lfcc-fused-early 0 10 1.817891 nan 251.426 0.347 131588
handcrafted-lfcc-fused-early 0 11 1.847909 nan 248.780 0.339 129315
handcrafted-lfcc-fused-early 0 12 1.787901 nan 267.907 0.343 131348
handcrafted-lfcc-fused-early 0 13 1.814787 nan 263.521 0.355 132083
handcrafted-lfcc-fused-early 0 14 1.814987 nan 318.832 0.345 130564
handcrafted-lfcc-fused-early 0 15 1.772445 nan 461.582 0.350 131768
handcrafted-lfcc-fused-early 0 16 1.798999 nan 399.419 0.344 131453
handcrafted-lfcc-fused-early 0 17 1.775149 nan 394.495 0.353 131963
handcrafted-lfcc-fused-early 0 18 1.768039 nan 344.142 0.346 130661
handcrafted-lfcc-fused-early 0 19 1.758446 nan 460.469 0.347 130676
handcrafted-lfcc-fused-early 0 20 1.789080 nan 447.349 0.347 130684
handcrafted-lfcc-fused-early 0 21 1.762701 nan 321.035 0.348 131663
handcrafted-lfcc-fused-early 0 22 1.760450 nan 289.174 0.341 130331
handcrafted-lfcc-fused-early 0 23 1.768520 nan 370.382 0.350 131783
handcrafted-lfcc-fused-early 0 24 1.740412 nan 264.242 0.349 130849
handcrafted-lfcc-fused-early 0 25 1.772693 nan 257.764 0.346 130631
handcrafted-lfcc-fused-early 0 26 1.748367 nan 278.304 0.355 132113
handcrafted-lfcc-fused-early 0 27 1.752417 nan 351.243 0.347 130729
handcrafted-lfcc-fused-early 0 28 1.747281 nan 253.049 0.346 130639
handcrafted-lfcc-fused-early 0 29 1.738011 nan 260.509 0.351 131828
handcrafted-lfcc-fused-early 0 30 1.739906 nan 258.284 0.355 131179
handcrafted-lfcc-fused-early 0 31 1.730254 nan 274.656 0.348 131693
handcrafted-lfcc-fused-early 0 32 1.731419 nan 331.688 0.346 130646
handcrafted-lfcc-fused-early 0 33 1.731230 nan 271.247 0.360 132398
handcrafted-lfcc-fused-early 0 34 1.742885 nan 398.063 0.346 130639
handcrafted-lfcc-fused-early 0 35 1.739318 nan 332.136 0.351 131828
handcrafted-lfcc-fused-early 0 36 1.753837 nan 279.764 0.348 130774
handcrafted-lfcc-fused-early 0 37 1.739700 nan 251.093 0.357 132195
handcrafted-lfcc-fused-early 0 38 1.739239 nan 247.557 0.354 132008
handcrafted-lfcc-fused-early 0 39 1.755070 nan 243.301 0.358 131351
handcrafted-lfcc-fused-early 0 40 1.747581 nan 355.714 0.354 131134
handcrafted-lfcc-fused-early 0 41 1.749154 nan 256.613 0.353 131963
handcrafted-lfcc-fused-early 0 42 1.763322 nan 255.844 0.351 131858
handcrafted-lfcc-fused-early 0 43 1.745071 nan 241.443 0.348 131693
handcrafted-lfcc-fused-early 0 44 1.742786 nan 276.250 0.348 130744
handcrafted-lfcc-fused-early 0 45 1.730513 nan 271.154 0.357 131329
handcrafted-lfcc-fused-early 0 46 1.735265 nan 271.585 0.351 131828
handcrafted-lfcc-fused-early 0 47 1.728915 nan 287.132 0.358 132308
handcrafted-lfcc-fused-early 0 48 1.739056 nan 266.808 0.348 129840
handcrafted-lfcc-fused-early 0 49 1.762281 nan 273.394 0.350 131783
handcrafted-lfcc-fused-early 0 50 1.736336 nan 255.048 0.352 131006
handcrafted-lfcc-fused-early 1 1 2.655962 nan 109.207 0.327 129879
handcrafted-lfcc-fused-early 1 2 1.736819 nan 110.481 0.341 130426
handcrafted-lfcc-fused-early 1 3 1.282921 nan 115.262 0.356 131851
handcrafted-lfcc-fused-early 1 4 1.154597 nan 116.597 0.368 132226
handcrafted-lfcc-fused-early 1 5 1.119869 nan 112.268 0.378 133021
handcrafted-lfcc-fused-early 1 6 1.108683 nan 104.799 0.387 134093
handcrafted-lfcc-fused-early 1 7 1.111750 nan 106.811 0.396 134423
handcrafted-lfcc-fused-early 1 8 1.094405 nan 100.282 0.398 134596
handcrafted-lfcc-fused-early 1 9 1.095626 nan 100.067 0.404 134767
handcrafted-lfcc-fused-early 1 10 1.090516 nan 106.065 0.405 135173
handcrafted-lfcc-fused-early 1 11 1.093523 nan 118.258 0.404 134767
handcrafted-lfcc-fused-early 1 12 1.092052 nan 171.241 0.407 135112
handcrafted-lfcc-fused-early 1 13 1.090858 nan 140.037 0.408 135048
handcrafted-lfcc-fused-early 1 14 1.093049 nan 122.806 0.402 134654
handcrafted-lfcc-fused-early 1 15 1.094486 nan 314.517 0.410 135458
handcrafted-lfcc-fused-early 1 16 1.097164 nan 186.107 0.407 135157
handcrafted-lfcc-fused-early 1 17 1.090307 nan 152.700 0.407 134967
handcrafted-lfcc-fused-early 1 18 1.094829 nan 103.879 0.409 135106
handcrafted-lfcc-fused-early 1 19 1.081900 nan 106.145 0.409 135428
handcrafted-lfcc-fused-early 1 20 1.093518 nan 110.168 0.410 135290
handcrafted-lfcc-fused-early 1 21 1.084353 nan 103.979 0.411 135345
handcrafted-lfcc-fused-early 1 22 1.090617 nan 137.471 0.406 134559
handcrafted-lfcc-fused-early 1 23 1.114386 nan 107.924 0.411 135370
handcrafted-lfcc-fused-early 1 24 1.096402 nan 109.278 0.409 135428
handcrafted-lfcc-fused-early 1 25 1.083487 nan 103.898 0.413 135505
handcrafted-lfcc-fused-early 1 26 1.079440 nan 107.924 0.413 135668
