feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 2.632003 nan 144.062 0.187 68137
handcrafted-lfcc-fused-early 0 2 1.306724 nan 127.901 0.208 76060
handcrafted-lfcc-fused-early 0 3 0.631748 nan 129.923 0.272 92793
handcrafted-lfcc-fused-early 0 4 0.347561 nan 134.795 0.208 68523
handcrafted-lfcc-fused-early 0 5 0.228480 nan 136.437 0.226 70405
handcrafted-lfcc-fused-early 0 6 0.162918 nan 189.920 0.242 77312
handcrafted-lfcc-fused-early 0 7 0.118793 nan 169.544 0.180 57117
handcrafted-lfcc-fused-early 0 8 0.090257 nan 338.808 0.285 88024
handcrafted-lfcc-fused-early 0 9 0.069792 nan 378.229 0.322 97190
handcrafted-lfcc-fused-early 0 10 0.056736 nan 334.379 0.306 94094
handcrafted-lfcc-fused-early 0 11 0.044930 nan 160.523 0.284 88782
handcrafted-lfcc-fused-early 0 12 0.036214 nan 134.787 0.291 85744
handcrafted-lfcc-fused-early 0 13 0.030673 nan 222.162 0.218 62904
handcrafted-lfcc-fused-early 0 14 0.025916 nan 124.946 0.287 81662
handcrafted-lfcc-fused-early 0 15 0.021905 nan 141.051 0.292 85141
handcrafted-lfcc-fused-early 0 16 0.019107 nan 143.886 0.345 104476
handcrafted-lfcc-fused-early 0 17 0.016458 nan 161.862 0.255 66657
handcrafted-lfcc-fused-early 0 18 0.014246 nan 328.102 0.337 101559
handcrafted-lfcc-fused-early 0 19 0.012996 nan 113.799 0.272 77997
handcrafted-lfcc-fused-early 0 20 0.011826 nan 178.114 0.304 89575
handcrafted-lfcc-fused-early 0 21 0.010718 nan 159.154 0.236 67246
handcrafted-lfcc-fused-early 0 22 0.009783 nan 120.958 0.322 95423
handcrafted-lfcc-fused-early 0 23 0.009126 nan 128.434 0.302 84125
handcrafted-lfcc-fused-early 0 24 0.008323 nan 121.316 0.298 88635
handcrafted-lfcc-fused-early 0 25 0.007469 nan 114.392 0.371 105953
handcrafted-lfcc-fused-early 0 26 0.006727 nan 129.658 0.303 86479
handcrafted-lfcc-fused-early 0 27 0.006237 nan 122.969 0.380 111231
handcrafted-lfcc-fused-early 0 28 0.005872 nan 123.940 0.332 92181
handcrafted-lfcc-fused-early 0 29 0.005545 nan 143.543 0.278 73781
handcrafted-lfcc-fused-early 0 30 0.005189 nan 117.421 0.359 102668
handcrafted-lfcc-fused-early 0 31 0.004799 nan 120.250 0.352 100511
handcrafted-lfcc-fused-early 0 32 0.004639 nan 120.015 0.334 90169
handcrafted-lfcc-fused-early 0 33 0.004425 nan 118.320 0.290 85605
handcrafted-lfcc-fused-early 0 34 0.004230 nan 121.409 0.327 92145
handcrafted-lfcc-fused-early 0 35 0.003926 nan 124.991 0.214 61428
handcrafted-lfcc-fused-early 0 36 0.003751 nan 145.015 0.351 100203
handcrafted-lfcc-fused-early 0 37 0.003498 nan 140.844 0.325 91147
handcrafted-lfcc-fused-early 0 38 0.003411 nan 156.049 0.329 91839
handcrafted-lfcc-fused-early 0 39 0.003265 nan 221.782 0.369 108368
handcrafted-lfcc-fused-early 0 40 0.003090 nan 119.759 0.335 89397
handcrafted-lfcc-fused-early 0 41 0.002932 nan 128.214 0.347 96377
handcrafted-lfcc-fused-early 0 42 0.002814 nan 145.054 0.334 95755
handcrafted-lfcc-fused-early 0 43 0.002715 nan 140.450 0.323 95977
handcrafted-lfcc-fused-early 0 44 0.002597 nan 169.127 0.361 101582
handcrafted-lfcc-fused-early 0 45 0.002508 nan 110.867 0.347 100513
handcrafted-lfcc-fused-early 0 46 0.002443 nan 147.924 0.327 92277
handcrafted-lfcc-fused-early 0 47 0.002350 nan 140.722 0.353 103268
handcrafted-lfcc-fused-early 0 48 0.002287 nan 211.441 0.322 87374
handcrafted-lfcc-fused-early 0 49 0.002198 nan 135.822 0.353 101792
handcrafted-lfcc-fused-early 0 50 0.002120 nan 126.674 0.275 75917
handcrafted-lfcc-fused-early 1 1 2.637311 nan 106.207 0.176 65490
handcrafted-lfcc-fused-early 1 2 1.559506 nan 111.900 0.188 68439
handcrafted-lfcc-fused-early 1 3 0.928823 nan 110.372 0.213 72684
handcrafted-lfcc-fused-early 1 4 0.531876 nan 113.265 0.227 75604
handcrafted-lfcc-fused-early 1 5 0.331943 nan 136.269 0.225 72704
handcrafted-lfcc-fused-early 1 6 0.234362 nan 110.908 0.259 78961
handcrafted-lfcc-fused-early 1 7 0.177227 nan 117.009 0.262 79831
handcrafted-lfcc-fused-early 1 8 0.141920 nan 112.936 0.300 90287
handcrafted-lfcc-fused-early 1 9 0.112906 nan 101.233 0.259 77719
handcrafted-lfcc-fused-early 1 10 0.092442 nan 113.770 0.281 80268
handcrafted-lfcc-fused-early 1 11 0.074456 nan 112.731 0.278 81088
handcrafted-lfcc-fused-early 1 12 0.063665 nan 103.163 0.293 84873
handcrafted-lfcc-fused-early 1 13 0.053055 nan 108.321 0.287 83632
handcrafted-lfcc-fused-early 1 14 0.044892 nan 107.618 0.300 86427
handcrafted-lfcc-fused-early 1 15 0.039025 nan 99.949 0.305 87775
handcrafted-lfcc-fused-early 1 16 0.034824 nan 149.064 0.301 86446
handcrafted-lfcc-fused-early 1 17 0.030848 nan 113.854 0.300 86639
handcrafted-lfcc-fused-early 1 18 0.027482 nan 103.265 0.295 84691
handcrafted-lfcc-fused-early 1 19 0.024173 nan 132.986 0.312 88348
handcrafted-lfcc-fused-early 1 20 0.021449 nan 120.208 0.296 82738
handcrafted-lfcc-fused-early 1 21 0.017197 nan 120.755 0.300 84424
handcrafted-lfcc-fused-early 1 22 0.014968 nan 127.028 0.297 84113
