feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 2.126963 3.795385 110.956 0.395 158047
handcrafted-lfcc-fused-early 0 2 0.430649 5.249673 89.393 0.411 159027
handcrafted-lfcc-fused-early 0 3 0.068770 6.959172 86.441 0.433 160831
handcrafted-lfcc-fused-early 0 4 0.014031 7.967031 94.703 0.449 161958
handcrafted-lfcc-fused-early 0 5 0.005532 8.737354 79.117 0.458 161354
handcrafted-lfcc-fused-early 0 6 0.002717 9.321330 96.526 0.470 162948
handcrafted-lfcc-fused-early 0 7 0.001542 9.644095 77.982 0.475 163273
handcrafted-lfcc-fused-early 0 8 0.001173 9.838996 91.742 0.474 162309
handcrafted-lfcc-fused-early 0 9 0.001000 10.016174 81.977 0.476 162453
handcrafted-lfcc-fused-early 0 10 0.000811 10.186522 92.914 0.478 163177
handcrafted-lfcc-fused-early 0 11 0.000714 10.269312 83.963 0.479 163056
handcrafted-lfcc-fused-early 1 1 1.562926 4.378932 75.140 0.401 158254
handcrafted-lfcc-fused-early 1 2 0.329528 5.947052 79.772 0.414 158610
handcrafted-lfcc-fused-early 1 3 0.056287 7.251847 81.095 0.432 159944
handcrafted-lfcc-fused-early 1 4 0.016508 8.414468 79.433 0.448 160891
handcrafted-lfcc-fused-early 1 5 0.005977 9.166306 80.511 0.458 161444
handcrafted-lfcc-fused-early 1 6 0.003025 9.690361 81.587 0.463 161808
handcrafted-lfcc-fused-early 1 7 0.001797 10.062613 78.613 0.472 162531
handcrafted-lfcc-fused-early 1 8 0.001217 10.286585 87.814 0.473 162250
handcrafted-lfcc-fused-early 1 9 0.000931 10.536494 84.095 0.477 162770
handcrafted-lfcc-fused-early 1 10 0.000723 10.840991 83.077 0.479 162829
handcrafted-lfcc-fused-early 1 11 0.000567 10.979690 82.813 0.480 162647
handcrafted-lfcc-fused-early 2 1 1.562926 3.134111 71.556 0.401 158254
handcrafted-lfcc-fused-early 2 2 0.329528 4.428156 82.648 0.414 158610
handcrafted-lfcc-fused-early 2 3 0.056287 5.823694 82.766 0.432 159944
handcrafted-lfcc-fused-early 2 4 0.016508 6.629735 81.663 0.448 160891
handcrafted-lfcc-fused-early 2 5 0.005977 7.504679 83.534 0.458 161444
handcrafted-lfcc-fused-early 2 6 0.003025 8.088199 80.190 0.463 161808
handcrafted-lfcc-fused-early 2 7 0.001797 8.562060 83.646 0.472 162531
handcrafted-lfcc-fused-early 2 8 0.001217 8.873402 79.748 0.473 162250
handcrafted-lfcc-fused-early 2 9 0.000931 9.182436 80.096 0.477 162770
handcrafted-lfcc-fused-early 2 10 0.000723 9.445621 82.377 0.479 162829
handcrafted-lfcc-fused-early 2 11 0.000567 9.603196 77.262 0.480 162647
handcrafted-lfcc-fused-early 3 1 1.562926 3.134111 114.392 0.401 158254
handcrafted-lfcc-fused-early 3 2 0.329528 4.428156 90.159 0.414 158610
handcrafted-lfcc-fused-early 3 3 0.056287 5.823694 80.418 0.432 159944
handcrafted-lfcc-fused-early 3 4 0.016508 6.629735 83.553 0.448 160891
handcrafted-lfcc-fused-early 3 5 0.005977 7.504679 85.216 0.458 161444
handcrafted-lfcc-fused-early 3 6 0.003025 8.088199 81.274 0.463 161808
handcrafted-lfcc-fused-early 3 7 0.001797 8.562060 83.658 0.472 162531
handcrafted-lfcc-fused-early 3 8 0.001217 8.873402 84.078 0.473 162250
handcrafted-lfcc-fused-early 3 9 0.000931 9.182436 84.712 0.477 162770
handcrafted-lfcc-fused-early 3 10 0.000723 9.445621 82.452 0.479 162829
handcrafted-lfcc-fused-early 3 11 0.000567 9.603196 83.318 0.480 162647
handcrafted-lfcc-fused-early 4 1 1.562926 3.134111 103.289 0.401 158254
handcrafted-lfcc-fused-early 4 2 0.329528 4.428156 97.046 0.414 158610
handcrafted-lfcc-fused-early 4 3 0.056287 5.823694 84.213 0.432 159944
handcrafted-lfcc-fused-early 4 4 0.016508 6.629735 86.872 0.448 160891
handcrafted-lfcc-fused-early 4 5 0.005977 7.504679 85.016 0.458 161444
handcrafted-lfcc-fused-early 4 6 0.003025 8.088199 87.193 0.463 161808
handcrafted-lfcc-fused-early 4 7 0.001797 8.562060 86.226 0.472 162531
handcrafted-lfcc-fused-early 4 8 0.001217 8.873402 91.976 0.473 162250
handcrafted-lfcc-fused-early 4 9 0.000931 9.182436 91.046 0.477 162770
handcrafted-lfcc-fused-early 4 10 0.000723 9.445621 89.968 0.479 162829
handcrafted-lfcc-fused-early 4 11 0.000567 9.603196 83.288 0.480 162647
