feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-early 0 1 1.800923 4.317709 170.719 0.237 80917
handcrafted-lfcc-fused-early 0 2 0.710194 5.847872 174.992 0.219 70453
handcrafted-lfcc-fused-early 0 3 0.401961 7.007740 168.784 0.281 84846
handcrafted-lfcc-fused-early 0 4 0.269944 7.486314 174.654 0.292 87833
handcrafted-lfcc-fused-early 0 5 0.195199 7.632644 171.485 0.284 83424
handcrafted-lfcc-fused-early 0 6 0.146322 7.802411 159.749 0.321 94226
handcrafted-lfcc-fused-early 0 7 0.117799 7.910686 142.000 0.308 88792
handcrafted-lfcc-fused-early 0 8 0.087743 8.071739 129.758 0.345 99992
handcrafted-lfcc-fused-early 0 9 0.071127 8.167830 149.769 0.325 91696
handcrafted-lfcc-fused-early 0 10 0.051048 8.332426 153.311 0.339 94834
handcrafted-lfcc-fused-early 0 11 0.043087 8.397090 130.108 0.320 90185
handcrafted-lfcc-fused-early 1 1 1.474442 4.818405 146.128 0.231 81572
handcrafted-lfcc-fused-early 1 2 0.570749 6.159038 165.201 0.250 81931
handcrafted-lfcc-fused-early 1 3 0.296839 7.248264 159.553 0.292 91065
handcrafted-lfcc-fused-early 1 4 0.183148 7.826417 171.759 0.304 92839
handcrafted-lfcc-fused-early 1 5 0.129929 8.145988 160.929 0.322 95758
handcrafted-lfcc-fused-early 1 6 0.093311 8.427903 171.470 0.312 91628
handcrafted-lfcc-fused-early 1 7 0.069842 8.650782 151.827 0.334 97088
handcrafted-lfcc-fused-early 1 8 0.052475 8.847419 147.160 0.327 95395
handcrafted-lfcc-fused-early 1 9 0.039468 9.016108 149.573 0.349 101708
handcrafted-lfcc-fused-early 1 10 0.030501 9.137979 136.299 0.357 103381
handcrafted-lfcc-fused-early 1 11 0.024419 9.286523 110.167 0.350 99359
handcrafted-lfcc-fused-early 2 1 1.607716 4.523883 189.147 0.214 73256
handcrafted-lfcc-fused-early 2 2 0.526523 5.860806 176.211 0.267 85223
handcrafted-lfcc-fused-early 2 3 0.223185 6.961379 180.373 0.278 84181
handcrafted-lfcc-fused-early 2 4 0.115931 7.389301 167.196 0.312 94385
handcrafted-lfcc-fused-early 2 5 0.071825 7.622628 180.533 0.294 86961
handcrafted-lfcc-fused-early 2 6 0.047358 7.783560 166.737 0.328 96211
handcrafted-lfcc-fused-early 2 7 0.032756 7.953827 153.268 0.308 88252
handcrafted-lfcc-fused-early 2 8 0.024499 8.107777 155.630 0.330 93244
handcrafted-lfcc-fused-early 2 9 0.018964 8.228933 164.265 0.342 98248
handcrafted-lfcc-fused-early 2 10 0.014269 8.318925 144.859 0.349 100263
handcrafted-lfcc-fused-early 2 11 0.011851 8.390389 114.445 0.344 95689
handcrafted-lfcc-fused-early 3 1 1.572683 5.389000 137.950 0.194 67437
handcrafted-lfcc-fused-early 3 2 0.474531 7.545002 146.226 0.250 79894
handcrafted-lfcc-fused-early 3 3 0.211669 9.017592 153.400 0.248 73872
handcrafted-lfcc-fused-early 3 4 0.119049 9.529841 170.663 0.290 86269
handcrafted-lfcc-fused-early 3 5 0.074756 9.776262 173.580 0.276 79681
handcrafted-lfcc-fused-early 3 6 0.050645 9.986684 183.190 0.297 84473
handcrafted-lfcc-fused-early 3 7 0.035890 10.162249 159.924 0.286 81087
handcrafted-lfcc-fused-early 3 8 0.025768 10.316860 144.927 0.306 85025
handcrafted-lfcc-fused-early 3 9 0.020052 10.482675 143.310 0.311 87914
handcrafted-lfcc-fused-early 3 10 0.016098 10.612856 146.450 0.332 94164
handcrafted-lfcc-fused-early 3 11 0.013225 10.768510 136.046 0.325 89513
handcrafted-lfcc-fused-early 4 1 1.349724 3.020106 70.326 0.228 84018
handcrafted-lfcc-fused-early 4 2 0.454522 3.377679 78.835 0.232 81308
handcrafted-lfcc-fused-early 4 3 0.129847 3.782661 83.222 0.270 91881
handcrafted-lfcc-fused-early 4 4 0.046731 4.166935 79.905 0.287 95192
handcrafted-lfcc-fused-early 4 5 0.019126 4.486294 81.374 0.313 101344
handcrafted-lfcc-fused-early 4 6 0.011062 4.757180 80.456 0.308 97981
handcrafted-lfcc-fused-early 4 7 0.006173 4.966284 82.489 0.330 103176
handcrafted-lfcc-fused-early 4 8 0.004096 5.134746 82.148 0.332 103615
handcrafted-lfcc-fused-early 4 9 0.003155 5.256043 83.950 0.319 98355
handcrafted-lfcc-fused-early 4 10 0.002142 5.344591 81.640 0.350 108199
handcrafted-lfcc-fused-early 4 11 0.001785 5.412109 80.318 0.332 102074
