feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 2.272786 nan 838.986 0.370 131276
handcrafted-lfcc-fused-late 0 2 1.984103 nan 786.284 0.380 131875
handcrafted-lfcc-fused-late 0 3 1.992402 nan 617.674 0.386 131950
handcrafted-lfcc-fused-late 0 4 1.963034 nan 860.678 0.392 132659
handcrafted-lfcc-fused-late 0 5 1.958378 nan 975.301 0.392 132676
handcrafted-lfcc-fused-late 0 6 1.966423 nan 513.659 0.395 132970
handcrafted-lfcc-fused-late 0 7 1.956884 nan 450.719 0.394 132600
handcrafted-lfcc-fused-late 0 8 1.939881 nan 464.390 0.391 132578
handcrafted-lfcc-fused-late 0 9 1.935382 nan 594.913 0.395 132857
handcrafted-lfcc-fused-late 0 10 1.927550 nan 518.748 0.396 133010
handcrafted-lfcc-fused-late 0 11 1.927937 nan 503.299 0.394 132800
handcrafted-lfcc-fused-late 0 12 1.927316 nan 601.877 0.396 132832
handcrafted-lfcc-fused-late 0 13 1.946397 nan 745.957 0.401 133002
handcrafted-lfcc-fused-late 0 14 1.945030 nan 1043.423 0.399 133203
handcrafted-lfcc-fused-late 0 15 1.927529 nan 817.167 0.393 132588
handcrafted-lfcc-fused-late 0 16 1.927543 nan 547.783 0.396 133096
handcrafted-lfcc-fused-late 0 17 1.920444 nan 584.941 0.397 132981
handcrafted-lfcc-fused-late 0 18 1.910879 nan 498.848 0.395 132807
handcrafted-lfcc-fused-late 0 19 1.928891 nan 524.975 0.392 132493
handcrafted-lfcc-fused-late 0 20 1.911701 nan 476.593 0.394 132888
handcrafted-lfcc-fused-late 0 21 1.911160 nan 500.600 0.391 132565
handcrafted-lfcc-fused-late 0 22 1.910862 nan 485.260 0.393 132893
handcrafted-lfcc-fused-late 0 23 1.913185 nan 483.114 0.391 132597
handcrafted-lfcc-fused-late 0 24 1.908504 nan 492.452 0.392 132682
handcrafted-lfcc-fused-late 0 25 1.917617 nan 559.049 0.392 132534
handcrafted-lfcc-fused-late 0 26 1.906869 nan 474.865 0.391 132448
handcrafted-lfcc-fused-late 0 27 1.911481 nan 577.083 0.395 132797
handcrafted-lfcc-fused-late 0 28 1.902706 nan 508.118 0.394 132904
handcrafted-lfcc-fused-late 0 29 1.913700 nan 470.254 0.390 132527
handcrafted-lfcc-fused-late 0 30 1.910566 nan 469.118 0.392 132707
handcrafted-lfcc-fused-late 0 31 1.901971 nan 548.032 0.393 132656
handcrafted-lfcc-fused-late 0 32 1.899966 nan 470.702 0.388 132271
handcrafted-lfcc-fused-late 0 33 1.922114 nan 475.712 0.391 132533
handcrafted-lfcc-fused-late 0 34 1.899459 nan 531.981 0.392 132495
handcrafted-lfcc-fused-late 0 35 1.907301 nan 501.626 0.391 132711
handcrafted-lfcc-fused-late 0 36 1.902705 nan 485.109 0.390 132326
handcrafted-lfcc-fused-late 0 37 1.900838 nan 572.529 0.392 132734
handcrafted-lfcc-fused-late 0 38 1.896935 nan 467.002 0.392 132815
handcrafted-lfcc-fused-late 0 39 1.894319 nan 565.116 0.393 132830
handcrafted-lfcc-fused-late 0 40 1.905589 nan 583.707 0.390 132676
handcrafted-lfcc-fused-late 0 41 1.900602 nan 604.843 0.392 132818
handcrafted-lfcc-fused-late 0 42 1.894456 nan 519.062 0.391 132942
handcrafted-lfcc-fused-late 0 43 1.893413 nan 467.012 0.390 132115
handcrafted-lfcc-fused-late 0 44 1.893938 nan 544.609 0.392 132655
handcrafted-lfcc-fused-late 0 45 1.895961 nan 511.453 0.391 132422
handcrafted-lfcc-fused-late 0 46 1.895258 nan 628.689 0.389 132572
handcrafted-lfcc-fused-late 0 47 1.891860 nan 595.849 0.391 132661
handcrafted-lfcc-fused-late 0 48 1.896098 nan 520.001 0.391 132577
handcrafted-lfcc-fused-late 0 49 1.898361 nan 540.428 0.392 132606
