feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 1.990324 nan 145.075 0.209 76578
handcrafted-lfcc-fused-late 0 2 0.602047 nan 210.941 0.235 79958
handcrafted-lfcc-fused-late 0 3 0.265753 nan 239.263 0.270 89506
handcrafted-lfcc-fused-late 0 4 0.167807 nan 171.059 0.283 89757
handcrafted-lfcc-fused-late 0 5 0.109912 nan 179.613 0.283 90029
handcrafted-lfcc-fused-late 0 6 0.077527 nan 250.991 0.286 87859
handcrafted-lfcc-fused-late 0 7 0.056275 nan 187.289 0.296 90839
handcrafted-lfcc-fused-late 0 8 0.041718 nan 242.372 0.296 90798
handcrafted-lfcc-fused-late 0 9 0.030469 nan 233.326 0.317 95770
handcrafted-lfcc-fused-late 0 10 0.024716 nan 168.156 0.299 90893
handcrafted-lfcc-fused-late 0 11 0.019514 nan 148.738 0.306 91148
handcrafted-lfcc-fused-late 0 12 0.016639 nan 216.381 0.312 91732
handcrafted-lfcc-fused-late 0 13 0.013874 nan 163.094 0.312 93121
handcrafted-lfcc-fused-late 0 14 0.011636 nan 270.596 0.329 96658
handcrafted-lfcc-fused-late 0 15 0.009835 nan 150.218 0.324 94046
handcrafted-lfcc-fused-late 0 16 0.008550 nan 155.899 0.323 95440
handcrafted-lfcc-fused-late 0 17 0.007600 nan 149.454 0.325 95089
handcrafted-lfcc-fused-late 0 18 0.006745 nan 143.908 0.337 98924
handcrafted-lfcc-fused-late 0 19 0.006017 nan 193.749 0.332 97448
handcrafted-lfcc-fused-late 0 20 0.005458 nan 149.323 0.335 96648
handcrafted-lfcc-fused-late 0 21 0.005031 nan 159.855 0.340 98333
handcrafted-lfcc-fused-late 0 22 0.004579 nan 142.173 0.338 97133
handcrafted-lfcc-fused-late 0 23 0.004178 nan 141.135 0.334 96480
handcrafted-lfcc-fused-late 0 24 0.003829 nan 150.012 0.331 94803
handcrafted-lfcc-fused-late 0 25 0.003581 nan 179.260 0.329 95019
handcrafted-lfcc-fused-late 0 26 0.003277 nan 146.982 0.337 96637
handcrafted-lfcc-fused-late 0 27 0.003046 nan 141.472 0.344 98097
handcrafted-lfcc-fused-late 0 28 0.002833 nan 168.814 0.339 97925
handcrafted-lfcc-fused-late 0 29 0.002622 nan 182.239 0.340 97500
handcrafted-lfcc-fused-late 0 30 0.002468 nan 140.499 0.339 96496
handcrafted-lfcc-fused-late 0 31 0.002318 nan 148.302 0.336 94901
handcrafted-lfcc-fused-late 0 32 0.002183 nan 142.284 0.344 97531
handcrafted-lfcc-fused-late 0 33 0.002084 nan 157.453 0.349 98716
handcrafted-lfcc-fused-late 0 34 0.001979 nan 143.035 0.338 96017
handcrafted-lfcc-fused-late 0 35 0.001903 nan 187.962 0.355 100993
handcrafted-lfcc-fused-late 0 36 0.001811 nan 524.174 0.351 98678
handcrafted-lfcc-fused-late 0 37 0.001722 nan 144.504 0.338 95180
handcrafted-lfcc-fused-late 0 38 0.001647 nan 139.875 0.353 99238
handcrafted-lfcc-fused-late 0 39 0.001544 nan 140.325 0.346 97428
handcrafted-lfcc-fused-late 0 40 0.001451 nan 147.225 0.350 99571
handcrafted-lfcc-fused-late 0 41 0.001400 nan 140.350 0.348 97526
handcrafted-lfcc-fused-late 0 42 0.001326 nan 173.794 0.349 98248
handcrafted-lfcc-fused-late 0 43 0.001256 nan 142.969 0.340 95496
handcrafted-lfcc-fused-late 0 44 0.001220 nan 146.316 0.360 101562
handcrafted-lfcc-fused-late 0 45 0.001170 nan 227.274 0.342 96227
handcrafted-lfcc-fused-late 0 46 0.001132 nan 170.211 0.354 99201
handcrafted-lfcc-fused-late 0 47 0.001079 nan 151.853 0.353 98312
handcrafted-lfcc-fused-late 0 48 0.001040 nan 144.477 0.361 101845
handcrafted-lfcc-fused-late 0 49 0.000999 nan 146.448 0.352 99214
handcrafted-lfcc-fused-late 0 50 0.000972 nan 147.119 0.359 100207
handcrafted-lfcc-fused-late 1 1 1.981246 nan 115.142 0.205 76697
handcrafted-lfcc-fused-late 1 2 0.418748 nan 104.106 0.247 86181
handcrafted-lfcc-fused-late 1 3 0.102435 nan 103.687 0.284 94463
handcrafted-lfcc-fused-late 1 4 0.043520 nan 120.973 0.293 95055
handcrafted-lfcc-fused-late 1 5 0.028994 nan 104.094 0.293 92957
handcrafted-lfcc-fused-late 1 6 0.020402 nan 112.393 0.310 98741
handcrafted-lfcc-fused-late 1 7 0.015667 nan 112.995 0.299 94073
handcrafted-lfcc-fused-late 1 8 0.012679 nan 117.586 0.312 97963
handcrafted-lfcc-fused-late 1 9 0.010991 nan 111.224 0.298 92449
handcrafted-lfcc-fused-late 1 10 0.008989 nan 124.703 0.321 100601
handcrafted-lfcc-fused-late 1 11 0.007579 nan 119.522 0.312 97988
handcrafted-lfcc-fused-late 1 12 0.006384 nan 104.809 0.320 100306
handcrafted-lfcc-fused-late 1 13 0.005628 nan 114.071 0.318 98524
