feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 1.592961 6.045593 377.699 0.373 142258
handcrafted-lfcc-fused-late 0 2 1.141397 7.900431 412.375 0.400 144042
handcrafted-lfcc-fused-late 0 3 1.118084 8.972864 414.775 0.410 144156
handcrafted-lfcc-fused-late 0 4 1.112955 9.119523 294.352 0.418 145548
handcrafted-lfcc-fused-late 0 5 1.095787 9.357597 243.100 0.418 144867
handcrafted-lfcc-fused-late 0 6 1.086550 9.456878 231.445 0.419 145083
handcrafted-lfcc-fused-late 0 7 1.083221 9.604421 221.033 0.421 145082
handcrafted-lfcc-fused-late 0 8 1.080862 9.749570 220.179 0.423 145677
handcrafted-lfcc-fused-late 0 9 1.087359 9.827595 240.336 0.421 144949
handcrafted-lfcc-fused-late 0 10 1.079294 9.902933 228.570 0.421 145475
handcrafted-lfcc-fused-late 0 11 1.085234 10.030189 224.114 0.420 144861
handcrafted-lfcc-fused-late 1 1 2.089399 2.975211 154.336 0.363 141593
handcrafted-lfcc-fused-late 1 2 0.622454 4.058990 163.363 0.379 142463
handcrafted-lfcc-fused-late 1 3 0.120015 5.354465 134.418 0.391 143174
handcrafted-lfcc-fused-late 1 4 0.030423 6.340922 115.133 0.406 143710
handcrafted-lfcc-fused-late 1 5 0.013706 6.969226 113.782 0.414 144270
handcrafted-lfcc-fused-late 1 6 0.007096 7.584129 115.226 0.422 144933
handcrafted-lfcc-fused-late 1 7 0.003960 7.954421 114.037 0.424 144769
handcrafted-lfcc-fused-late 1 8 0.002849 8.295831 113.285 0.430 145501
handcrafted-lfcc-fused-late 1 9 0.002099 8.528219 118.845 0.432 145159
handcrafted-lfcc-fused-late 1 10 0.001617 8.792228 125.038 0.438 145963
handcrafted-lfcc-fused-late 1 11 0.001251 8.963048 113.808 0.443 146110
handcrafted-lfcc-fused-late 2 1 2.089399 1.783042 166.405 0.363 141593
handcrafted-lfcc-fused-late 2 2 0.622454 3.194148 141.876 0.379 142463
handcrafted-lfcc-fused-late 2 3 0.120015 4.598159 131.508 0.391 143174
handcrafted-lfcc-fused-late 2 4 0.030423 5.612213 127.013 0.406 143710
handcrafted-lfcc-fused-late 2 5 0.013706 6.319288 119.923 0.414 144270
handcrafted-lfcc-fused-late 2 6 0.007096 7.014090 117.028 0.422 144933
handcrafted-lfcc-fused-late 2 7 0.003960 7.467290 116.848 0.424 144769
handcrafted-lfcc-fused-late 2 8 0.002849 7.851357 123.503 0.430 145501
handcrafted-lfcc-fused-late 2 9 0.002099 8.132862 118.332 0.432 145159
handcrafted-lfcc-fused-late 2 10 0.001617 8.388773 115.896 0.438 145963
handcrafted-lfcc-fused-late 2 11 0.001251 8.666626 127.862 0.443 146110
handcrafted-lfcc-fused-late 3 1 2.089399 1.783042 115.931 0.363 141593
handcrafted-lfcc-fused-late 3 2 0.622454 3.194148 114.236 0.379 142463
handcrafted-lfcc-fused-late 3 3 0.120015 4.598159 120.760 0.391 143174
handcrafted-lfcc-fused-late 3 4 0.030423 5.612213 113.756 0.406 143710
handcrafted-lfcc-fused-late 3 5 0.013706 6.319288 120.789 0.414 144270
handcrafted-lfcc-fused-late 3 6 0.007096 7.014090 110.469 0.422 144933
handcrafted-lfcc-fused-late 3 7 0.003960 7.467290 121.913 0.424 144769
handcrafted-lfcc-fused-late 3 8 0.002849 7.851357 113.551 0.430 145501
handcrafted-lfcc-fused-late 3 9 0.002099 8.132862 118.997 0.432 145159
handcrafted-lfcc-fused-late 3 10 0.001617 8.388773 115.891 0.438 145963
handcrafted-lfcc-fused-late 3 11 0.001251 8.666626 118.493 0.443 146110
handcrafted-lfcc-fused-late 4 1 2.089399 1.783042 131.558 0.363 141593
handcrafted-lfcc-fused-late 4 2 0.622454 3.194148 126.515 0.379 142463
handcrafted-lfcc-fused-late 4 3 0.120015 4.598159 120.892 0.391 143174
handcrafted-lfcc-fused-late 4 4 0.030423 5.612213 121.015 0.406 143710
handcrafted-lfcc-fused-late 4 5 0.013706 6.319288 119.465 0.414 144270
handcrafted-lfcc-fused-late 4 6 0.007096 7.014090 125.025 0.422 144933
handcrafted-lfcc-fused-late 4 7 0.003960 7.467290 123.600 0.424 144769
handcrafted-lfcc-fused-late 4 8 0.002849 7.851357 123.703 0.430 145501
handcrafted-lfcc-fused-late 4 9 0.002099 8.132862 122.209 0.432 145159
handcrafted-lfcc-fused-late 4 10 0.001617 8.388773 121.919 0.438 145963
handcrafted-lfcc-fused-late 4 11 0.001251 8.666626 123.132 0.443 146110
