feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 1.742581 2.935194 113.292 0.161 58129
handcrafted-lfcc-fused-late 0 2 0.521405 3.506897 119.038 0.230 78028
handcrafted-lfcc-fused-late 0 3 0.154867 4.028546 117.479 0.282 92272
handcrafted-lfcc-fused-late 0 4 0.048872 4.432748 116.074 0.266 83187
handcrafted-lfcc-fused-late 0 5 0.016353 4.705128 114.399 0.333 103130
handcrafted-lfcc-fused-late 0 6 0.007451 4.904253 112.545 0.324 98682
handcrafted-lfcc-fused-late 0 7 0.004452 5.048472 113.995 0.320 96342
handcrafted-lfcc-fused-late 0 8 0.002776 5.143025 117.912 0.359 108483
handcrafted-lfcc-fused-late 0 9 0.002160 5.209807 131.310 0.360 107210
handcrafted-lfcc-fused-late 0 10 0.001671 5.256396 109.427 0.329 97875
handcrafted-lfcc-fused-late 0 11 0.001539 5.288577 79.348 0.368 109733
handcrafted-lfcc-fused-late 1 1 1.329756 4.399000 193.256 0.233 82993
handcrafted-lfcc-fused-late 1 2 0.328122 6.288914 193.682 0.281 92852
handcrafted-lfcc-fused-late 1 3 0.152726 7.295017 201.422 0.312 98093
handcrafted-lfcc-fused-late 1 4 0.091213 7.599313 191.878 0.318 99685
handcrafted-lfcc-fused-late 1 5 0.062762 7.879929 182.325 0.327 101033
handcrafted-lfcc-fused-late 1 6 0.044989 8.056616 158.068 0.327 98877
handcrafted-lfcc-fused-late 1 7 0.032192 8.155120 156.951 0.342 104793
handcrafted-lfcc-fused-late 1 8 0.025325 8.257804 163.393 0.341 102189
handcrafted-lfcc-fused-late 1 9 0.019973 8.250026 158.386 0.353 105981
handcrafted-lfcc-fused-late 1 10 0.015501 8.327724 175.357 0.369 111530
handcrafted-lfcc-fused-late 1 11 0.012284 8.429296 150.272 0.363 109603
handcrafted-lfcc-fused-late 2 1 1.161416 4.637964 241.290 0.219 75463
handcrafted-lfcc-fused-late 2 2 0.283320 6.243907 255.233 0.276 90180
handcrafted-lfcc-fused-late 2 3 0.118259 7.169675 255.941 0.294 92224
handcrafted-lfcc-fused-late 2 4 0.064905 7.681455 243.019 0.308 95674
handcrafted-lfcc-fused-late 2 5 0.040970 7.941211 168.140 0.317 96542
handcrafted-lfcc-fused-late 2 6 0.028731 8.072839 168.418 0.336 103270
handcrafted-lfcc-fused-late 2 7 0.019497 8.263507 165.954 0.316 95611
handcrafted-lfcc-fused-late 2 8 0.015667 8.406223 164.087 0.327 97887
handcrafted-lfcc-fused-late 2 9 0.010808 8.504456 151.072 0.343 102804
handcrafted-lfcc-fused-late 2 10 0.008792 8.574677 132.211 0.346 103236
handcrafted-lfcc-fused-late 2 11 0.006978 8.662887 120.001 0.343 101042
handcrafted-lfcc-fused-late 3 1 1.155988 4.445762 151.189 0.206 70976
handcrafted-lfcc-fused-late 3 2 0.257592 6.416419 195.238 0.270 87453
handcrafted-lfcc-fused-late 3 3 0.110429 7.442664 214.018 0.285 87930
handcrafted-lfcc-fused-late 3 4 0.063457 7.691461 200.496 0.292 89296
handcrafted-lfcc-fused-late 3 5 0.040181 7.821556 227.998 0.311 93085
handcrafted-lfcc-fused-late 3 6 0.026564 7.956340 203.045 0.315 95199
handcrafted-lfcc-fused-late 3 7 0.019189 8.037458 182.340 0.308 92126
handcrafted-lfcc-fused-late 3 8 0.013761 8.139995 189.062 0.325 96101
handcrafted-lfcc-fused-late 3 9 0.010594 8.224504 178.530 0.328 97586
handcrafted-lfcc-fused-late 3 10 0.008081 8.310468 188.053 0.337 100302
handcrafted-lfcc-fused-late 3 11 0.007014 8.387113 142.487 0.334 97505
handcrafted-lfcc-fused-late 4 1 1.098178 2.698439 106.729 0.225 83638
handcrafted-lfcc-fused-late 4 2 0.253903 3.046396 111.836 0.248 88290
handcrafted-lfcc-fused-late 4 3 0.061654 3.354481 104.890 0.288 100450
handcrafted-lfcc-fused-late 4 4 0.016284 3.621404 103.303 0.317 107032
handcrafted-lfcc-fused-late 4 5 0.005837 3.822433 104.145 0.343 114753
handcrafted-lfcc-fused-late 4 6 0.002825 3.975757 87.478 0.341 112074
handcrafted-lfcc-fused-late 4 7 0.001576 4.073474 93.125 0.357 115956
handcrafted-lfcc-fused-late 4 8 0.001059 4.154603 87.338 0.355 114827
handcrafted-lfcc-fused-late 4 9 0.000806 4.220354 81.166 0.344 110516
handcrafted-lfcc-fused-late 4 10 0.000656 4.261165 95.899 0.383 123388
handcrafted-lfcc-fused-late 4 11 0.000533 4.287375 93.601 0.360 114628
