feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 2.458116 nan 765.256 0.353 129236
handcrafted-lfcc-fused-late 0 2 1.975859 nan 1642.005 0.377 131670
handcrafted-lfcc-fused-late 0 3 1.972145 nan 284.158 0.381 131865
handcrafted-lfcc-fused-late 0 4 1.951310 nan 262.901 0.388 133234
handcrafted-lfcc-fused-late 0 5 1.961041 nan 894.437 0.389 132390
handcrafted-lfcc-fused-late 0 6 1.961626 nan 586.240 0.394 132675
handcrafted-lfcc-fused-late 0 7 1.947577 nan 876.632 0.391 132495
handcrafted-lfcc-fused-late 0 8 1.945448 nan 483.107 0.395 132720
handcrafted-lfcc-fused-late 0 9 1.943597 nan 377.168 0.396 132795
handcrafted-lfcc-fused-late 0 10 1.935882 nan 523.053 0.395 132735
handcrafted-lfcc-fused-late 0 11 1.939406 nan 717.090 0.396 132780
handcrafted-lfcc-fused-late 0 12 1.932775 nan 2777.397 0.397 132870
handcrafted-lfcc-fused-late 0 13 1.955917 nan 588.946 0.390 133324
handcrafted-lfcc-fused-late 0 14 1.942364 nan 657.584 0.399 132086
handcrafted-lfcc-fused-late 0 15 1.925990 nan 1107.254 0.394 132705
handcrafted-lfcc-fused-late 0 16 1.944833 nan 411.250 0.394 131771
handcrafted-lfcc-fused-late 0 17 1.940906 nan 1037.362 0.392 132555
handcrafted-lfcc-fused-late 0 18 1.932886 nan 630.071 0.403 133260
handcrafted-lfcc-fused-late 0 19 1.917727 nan 730.083 0.394 132675
handcrafted-lfcc-fused-late 0 20 1.944907 nan 632.269 0.394 131786
handcrafted-lfcc-fused-late 0 21 1.934913 nan 1567.708 0.397 132870
handcrafted-lfcc-fused-late 0 22 1.956104 nan 1360.061 0.397 132870
handcrafted-lfcc-fused-late 0 23 1.921856 nan 338.921 0.396 132810
handcrafted-lfcc-fused-late 0 24 1.916154 nan 348.388 0.395 132750
handcrafted-lfcc-fused-late 0 25 1.924905 nan 374.242 0.396 132780
handcrafted-lfcc-fused-late 0 26 1.923669 nan 316.552 0.397 133766
handcrafted-lfcc-fused-late 0 27 1.909426 nan 313.587 0.394 132690
handcrafted-lfcc-fused-late 0 28 1.908423 nan 934.880 0.396 132795
handcrafted-lfcc-fused-late 0 29 1.897003 nan 355.839 0.395 132750
handcrafted-lfcc-fused-late 0 30 1.903014 nan 347.323 0.402 134111
handcrafted-lfcc-fused-late 0 31 1.903041 nan 298.787 0.392 132570
handcrafted-lfcc-fused-late 0 32 1.905123 nan 375.392 0.391 131598
handcrafted-lfcc-fused-late 0 33 1.891758 nan 347.248 0.397 133804
handcrafted-lfcc-fused-late 0 34 1.900632 nan 306.292 0.391 132525
handcrafted-lfcc-fused-late 0 35 1.899092 nan 330.614 0.396 132780
handcrafted-lfcc-fused-late 0 36 1.889965 nan 339.385 0.395 132765
handcrafted-lfcc-fused-late 0 37 1.892268 nan 316.191 0.403 134141
handcrafted-lfcc-fused-late 0 38 1.892488 nan 316.352 0.393 132615
handcrafted-lfcc-fused-late 0 39 1.920049 nan 299.706 0.404 134201
handcrafted-lfcc-fused-late 0 40 1.904579 nan 297.219 0.406 135233
handcrafted-lfcc-fused-late 0 41 1.900107 nan 344.379 0.397 132855
handcrafted-lfcc-fused-late 0 42 1.892977 nan 292.589 0.394 132675
handcrafted-lfcc-fused-late 0 43 1.914885 nan 325.411 0.396 132780
handcrafted-lfcc-fused-late 0 44 1.901881 nan 320.565 0.396 132795
handcrafted-lfcc-fused-late 0 45 1.891621 nan 340.008 0.401 134051
handcrafted-lfcc-fused-late 0 46 1.894770 nan 311.350 0.396 132795
handcrafted-lfcc-fused-late 0 47 1.884453 nan 311.076 0.399 133909
handcrafted-lfcc-fused-late 0 48 1.901825 nan 300.582 0.396 132795
handcrafted-lfcc-fused-late 0 49 1.904566 nan 298.915 0.392 132570
handcrafted-lfcc-fused-late 0 50 1.885972 nan 293.001 0.398 132915
handcrafted-lfcc-fused-late 1 1 2.183704 nan 154.140 0.313 125604
handcrafted-lfcc-fused-late 1 2 1.383560 nan 124.869 0.334 127033
handcrafted-lfcc-fused-late 1 3 1.151103 nan 131.044 0.361 129703
handcrafted-lfcc-fused-late 1 4 1.095460 nan 124.373 0.365 128632
handcrafted-lfcc-fused-late 1 5 1.074513 nan 119.851 0.375 128541
handcrafted-lfcc-fused-late 1 6 1.055369 nan 113.283 0.382 129947
handcrafted-lfcc-fused-late 1 7 1.055787 nan 146.909 0.386 130560
handcrafted-lfcc-fused-late 1 8 1.044788 nan 124.501 0.385 130172
handcrafted-lfcc-fused-late 1 9 1.056623 nan 120.320 0.385 130147
handcrafted-lfcc-fused-late 1 10 1.035812 nan 130.210 0.389 130908
handcrafted-lfcc-fused-late 1 11 1.019489 nan 158.253 0.386 130218
handcrafted-lfcc-fused-late 1 12 1.013315 nan 142.510 0.388 130864
handcrafted-lfcc-fused-late 1 13 1.008992 nan 117.214 0.385 129499
handcrafted-lfcc-fused-late 1 14 1.000896 nan 121.807 0.385 129863
handcrafted-lfcc-fused-late 1 15 1.013283 nan 143.263 0.388 130663
handcrafted-lfcc-fused-late 1 16 0.985937 nan 150.056 0.387 129926
handcrafted-lfcc-fused-late 1 17 1.000538 nan 120.024 0.387 129792
handcrafted-lfcc-fused-late 1 18 1.002736 nan 121.159 0.385 130013
handcrafted-lfcc-fused-late 1 19 0.979698 nan 128.169 0.390 130617
handcrafted-lfcc-fused-late 1 20 0.980575 nan 132.675 0.388 130194
handcrafted-lfcc-fused-late 1 21 0.979908 nan 127.731 0.387 130115
handcrafted-lfcc-fused-late 1 22 0.977200 nan 122.200 0.387 129137
handcrafted-lfcc-fused-late 1 23 0.988497 nan 162.027 0.387 130593
handcrafted-lfcc-fused-late 1 24 0.977894 nan 142.418 0.389 130925
handcrafted-lfcc-fused-late 1 25 0.964844 nan 126.313 0.386 129700
handcrafted-lfcc-fused-late 1 26 0.964931 nan 130.350 0.389 130886
handcrafted-lfcc-fused-late 1 27 0.962836 nan 138.954 0.390 131310
handcrafted-lfcc-fused-late 1 28 0.969365 nan 129.753 0.388 131195
handcrafted-lfcc-fused-late 1 29 0.952227 nan 121.870 0.389 130572
handcrafted-lfcc-fused-late 1 30 0.962109 nan 135.288 0.390 130622
handcrafted-lfcc-fused-late 1 31 0.954761 nan 130.493 0.391 130503
handcrafted-lfcc-fused-late 1 32 0.954230 nan 149.427 0.391 129692
handcrafted-lfcc-fused-late 1 33 0.953896 nan 194.516 0.389 129776
handcrafted-lfcc-fused-late 1 34 0.953226 nan 221.567 0.391 130192
handcrafted-lfcc-fused-late 1 35 0.948839 nan 177.198 0.393 130843
handcrafted-lfcc-fused-late 1 36 0.956135 nan 132.733 0.391 130556
handcrafted-lfcc-fused-late 1 37 0.954979 nan 144.753 0.394 130397
handcrafted-lfcc-fused-late 1 38 0.950901 nan 149.815 0.392 131079
handcrafted-lfcc-fused-late 1 39 0.956565 nan 190.095 0.391 129517
handcrafted-lfcc-fused-late 1 40 0.947402 nan 213.616 0.396 131671
handcrafted-lfcc-fused-late 1 41 0.950725 nan 131.257 0.395 130607
handcrafted-lfcc-fused-late 1 42 0.944328 nan 132.561 0.395 130966
handcrafted-lfcc-fused-late 1 43 0.957397 nan 167.426 0.394 131375
handcrafted-lfcc-fused-late 1 44 0.943481 nan 134.544 0.395 131291
handcrafted-lfcc-fused-late 1 45 0.954857 nan 138.064 0.393 131486
handcrafted-lfcc-fused-late 1 46 0.948728 nan 130.784 0.393 130479
handcrafted-lfcc-fused-late 1 47 0.954338 nan 125.346 0.398 130778
handcrafted-lfcc-fused-late 1 48 0.963399 nan 124.159 0.398 130797
handcrafted-lfcc-fused-late 1 49 0.951091 nan 131.922 0.395 131417
handcrafted-lfcc-fused-late 1 50 0.952866 nan 152.795 0.395 131299
handcrafted-lfcc-fused-late 2 1 2.183704 nan 128.241 0.313 125604
handcrafted-lfcc-fused-late 2 2 1.383560 nan 131.342 0.334 127033
handcrafted-lfcc-fused-late 2 3 1.151103 nan 133.725 0.361 129703
handcrafted-lfcc-fused-late 2 4 1.095460 nan 158.166 0.365 128632
handcrafted-lfcc-fused-late 2 5 1.074513 nan 124.806 0.375 128541
handcrafted-lfcc-fused-late 2 6 1.055369 nan 135.227 0.382 129947
handcrafted-lfcc-fused-late 2 7 1.055787 nan 141.617 0.386 130560
handcrafted-lfcc-fused-late 2 8 1.044788 nan 120.463 0.385 130172
handcrafted-lfcc-fused-late 2 9 1.056623 nan 126.658 0.385 130147
handcrafted-lfcc-fused-late 2 10 1.035812 nan 122.552 0.389 130908
handcrafted-lfcc-fused-late 2 11 1.019489 nan 129.046 0.386 130218
handcrafted-lfcc-fused-late 2 12 1.013315 nan 127.973 0.388 130864
handcrafted-lfcc-fused-late 2 13 1.008992 nan 126.253 0.385 129499
handcrafted-lfcc-fused-late 2 14 1.000896 nan 124.711 0.385 129863
handcrafted-lfcc-fused-late 2 15 1.013283 nan 174.304 0.388 130663
handcrafted-lfcc-fused-late 2 16 0.985937 nan 124.706 0.387 129926
handcrafted-lfcc-fused-late 2 17 1.000538 nan 370.660 0.387 129792
handcrafted-lfcc-fused-late 2 18 1.002736 nan 471.558 0.385 130013
handcrafted-lfcc-fused-late 2 19 0.979698 nan 227.442 0.390 130617
handcrafted-lfcc-fused-late 2 20 0.980575 nan 127.329 0.388 130194
handcrafted-lfcc-fused-late 2 21 0.979908 nan 124.799 0.387 130115
handcrafted-lfcc-fused-late 2 22 0.977200 nan 167.776 0.387 129137
handcrafted-lfcc-fused-late 2 23 0.988497 nan 132.016 0.387 130593
handcrafted-lfcc-fused-late 2 24 0.977894 nan 128.540 0.389 130925
handcrafted-lfcc-fused-late 2 25 0.964844 nan 148.961 0.386 129700
handcrafted-lfcc-fused-late 2 26 0.964931 nan 130.671 0.389 130886
handcrafted-lfcc-fused-late 2 27 0.962836 nan 135.728 0.390 131310
handcrafted-lfcc-fused-late 2 28 0.969365 nan 122.414 0.388 131195
handcrafted-lfcc-fused-late 2 29 0.952227 nan 133.575 0.389 130572
handcrafted-lfcc-fused-late 2 30 0.962109 nan 209.196 0.390 130622
handcrafted-lfcc-fused-late 2 31 0.954761 nan 233.584 0.391 130503
handcrafted-lfcc-fused-late 2 32 0.954230 nan 125.074 0.391 129692
handcrafted-lfcc-fused-late 2 33 0.953896 nan 126.799 0.389 129776
handcrafted-lfcc-fused-late 2 34 0.953226 nan 124.970 0.391 130192
handcrafted-lfcc-fused-late 2 35 0.948839 nan 123.882 0.393 130843
handcrafted-lfcc-fused-late 2 36 0.956135 nan 121.509 0.391 130556
handcrafted-lfcc-fused-late 2 37 0.954979 nan 124.072 0.394 130397
handcrafted-lfcc-fused-late 2 38 0.950901 nan 127.018 0.392 131079
handcrafted-lfcc-fused-late 2 39 0.956565 nan 125.546 0.391 129517
handcrafted-lfcc-fused-late 2 40 0.947402 nan 115.161 0.396 131671
handcrafted-lfcc-fused-late 2 41 0.950725 nan 109.401 0.395 130607
