feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 1.992764 nan 261.317 0.197 72699
handcrafted-lfcc-fused-late 0 2 0.837739 nan 223.284 0.211 75132
handcrafted-lfcc-fused-late 0 3 0.439851 nan 237.311 0.260 87496
handcrafted-lfcc-fused-late 0 4 0.276615 nan 256.585 0.302 104872
handcrafted-lfcc-fused-late 0 5 0.201537 nan 250.362 0.206 64478
handcrafted-lfcc-fused-late 0 6 0.147462 nan 254.041 0.328 99068
handcrafted-lfcc-fused-late 0 7 0.117849 nan 290.354 0.253 79803
handcrafted-lfcc-fused-late 0 8 0.088729 nan 274.534 0.293 92275
handcrafted-lfcc-fused-late 0 9 0.070297 nan 311.313 0.350 111763
handcrafted-lfcc-fused-late 0 10 0.055567 nan 584.793 0.278 84101
handcrafted-lfcc-fused-late 0 11 0.047155 nan 449.172 0.331 96076
handcrafted-lfcc-fused-late 0 12 0.038629 nan 255.794 0.261 80283
handcrafted-lfcc-fused-late 0 13 0.033504 nan 224.849 0.321 102128
handcrafted-lfcc-fused-late 0 14 0.028117 nan 240.978 0.345 105218
handcrafted-lfcc-fused-late 0 15 0.024267 nan 224.335 0.339 100967
handcrafted-lfcc-fused-late 0 16 0.025641 nan 239.510 0.297 89354
handcrafted-lfcc-fused-late 0 17 0.019392 nan 242.568 0.293 87246
handcrafted-lfcc-fused-late 0 18 0.017417 nan 236.779 0.363 104878
handcrafted-lfcc-fused-late 0 19 0.014480 nan 219.066 0.333 100358
handcrafted-lfcc-fused-late 0 20 0.013032 nan 233.639 0.316 90818
handcrafted-lfcc-fused-late 0 21 0.012408 nan 232.016 0.293 86308
handcrafted-lfcc-fused-late 0 22 0.011001 nan 213.584 0.363 113078
handcrafted-lfcc-fused-late 0 23 0.010162 nan 220.562 0.368 109411
handcrafted-lfcc-fused-late 0 24 0.009255 nan 242.508 0.361 110988
handcrafted-lfcc-fused-late 0 25 0.008420 nan 236.729 0.343 101346
handcrafted-lfcc-fused-late 0 26 0.007842 nan 222.464 0.392 119744
handcrafted-lfcc-fused-late 0 27 0.007218 nan 226.625 0.364 111910
handcrafted-lfcc-fused-late 0 28 0.006812 nan 221.191 0.357 105817
handcrafted-lfcc-fused-late 0 29 0.006407 nan 244.471 0.341 99279
handcrafted-lfcc-fused-late 0 30 0.005992 nan 252.218 0.357 106066
handcrafted-lfcc-fused-late 0 31 0.005443 nan 233.610 0.357 107576
handcrafted-lfcc-fused-late 0 32 0.005010 nan 226.435 0.361 106844
handcrafted-lfcc-fused-late 0 33 0.004744 nan 229.079 0.336 97905
handcrafted-lfcc-fused-late 0 34 0.004558 nan 228.023 0.335 95872
handcrafted-lfcc-fused-late 0 35 0.004309 nan 225.793 0.353 105400
handcrafted-lfcc-fused-late 0 36 0.004041 nan 224.419 0.387 114197
handcrafted-lfcc-fused-late 0 37 0.003796 nan 252.667 0.341 103494
handcrafted-lfcc-fused-late 0 38 0.003684 nan 244.096 0.319 92087
handcrafted-lfcc-fused-late 0 39 0.003522 nan 228.957 0.392 119985
handcrafted-lfcc-fused-late 0 40 0.003322 nan 224.470 0.363 110953
handcrafted-lfcc-fused-late 0 41 0.003177 nan 220.487 0.294 82138
handcrafted-lfcc-fused-late 0 42 0.002966 nan 260.056 0.375 109300
handcrafted-lfcc-fused-late 0 43 0.002855 nan 232.042 0.360 105696
handcrafted-lfcc-fused-late 0 44 0.002754 nan 216.409 0.379 117055
handcrafted-lfcc-fused-late 0 45 0.002660 nan 219.661 0.376 112743
handcrafted-lfcc-fused-late 0 46 0.002556 nan 219.689 0.320 94648
handcrafted-lfcc-fused-late 0 47 0.002459 nan 301.655 0.358 110333
handcrafted-lfcc-fused-late 0 48 0.002341 nan 232.247 0.321 92399
handcrafted-lfcc-fused-late 0 49 0.002229 nan 230.648 0.314 86427
handcrafted-lfcc-fused-late 0 50 0.002176 nan 268.152 0.397 120300
handcrafted-lfcc-fused-late 1 1 2.353756 nan 114.214 0.198 75140
handcrafted-lfcc-fused-late 1 2 1.011572 nan 92.890 0.217 81423
handcrafted-lfcc-fused-late 1 3 0.432084 nan 93.689 0.217 76918
handcrafted-lfcc-fused-late 1 4 0.193271 nan 97.476 0.254 86398
handcrafted-lfcc-fused-late 1 5 0.097808 nan 93.103 0.279 91951
handcrafted-lfcc-fused-late 1 6 0.055702 nan 112.068 0.261 85473
