feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 2.328398 4.534754 239.227 0.380 142100
handcrafted-lfcc-fused-late 0 2 1.162847 6.633224 235.848 0.399 143848
handcrafted-lfcc-fused-late 0 3 1.059485 7.737396 237.168 0.421 144585
handcrafted-lfcc-fused-late 0 4 1.066843 8.223629 232.813 0.423 144720
handcrafted-lfcc-fused-late 0 5 1.038107 8.333104 245.373 0.426 145493
handcrafted-lfcc-fused-late 0 6 1.022190 8.480256 248.831 0.424 144152
handcrafted-lfcc-fused-late 0 7 1.005933 8.563997 251.534 0.427 144930
handcrafted-lfcc-fused-late 0 8 1.003989 8.625700 252.822 0.426 144915
handcrafted-lfcc-fused-late 0 9 1.025287 8.816286 225.213 0.427 144945
handcrafted-lfcc-fused-late 0 10 1.005460 8.829355 225.651 0.427 144965
handcrafted-lfcc-fused-late 0 11 1.006419 8.962538 237.394 0.427 144960
handcrafted-lfcc-fused-late 1 1 2.907166 2.252047 149.495 0.355 139370
handcrafted-lfcc-fused-late 1 2 1.440047 2.640223 106.481 0.365 139654
handcrafted-lfcc-fused-late 1 3 0.516698 3.802805 112.932 0.382 140631
handcrafted-lfcc-fused-late 1 4 0.153128 5.306917 108.866 0.397 141434
handcrafted-lfcc-fused-late 1 5 0.047382 6.325037 110.507 0.416 142782
handcrafted-lfcc-fused-late 1 6 0.019345 7.041007 106.300 0.426 143296
handcrafted-lfcc-fused-late 1 7 0.009685 7.630610 112.460 0.436 143646
handcrafted-lfcc-fused-late 1 8 0.005063 8.185115 104.519 0.445 144454
handcrafted-lfcc-fused-late 1 9 0.003153 8.478612 111.651 0.449 144384
handcrafted-lfcc-fused-late 1 10 0.002276 8.776084 118.569 0.452 144542
handcrafted-lfcc-fused-late 1 11 0.001772 8.958478 111.315 0.455 144856
handcrafted-lfcc-fused-late 2 1 2.907166 2.252047 120.148 0.355 139370
handcrafted-lfcc-fused-late 2 2 1.440047 2.640223 119.704 0.365 139654
handcrafted-lfcc-fused-late 2 3 0.516698 3.802805 114.617 0.382 140631
handcrafted-lfcc-fused-late 2 4 0.153128 5.306917 112.775 0.397 141434
handcrafted-lfcc-fused-late 2 5 0.047382 6.325037 117.661 0.416 142782
handcrafted-lfcc-fused-late 2 6 0.019345 7.041007 125.441 0.426 143296
handcrafted-lfcc-fused-late 2 7 0.009685 7.630610 128.323 0.436 143646
handcrafted-lfcc-fused-late 2 8 0.005063 8.185115 108.663 0.445 144454
handcrafted-lfcc-fused-late 2 9 0.003153 8.478612 118.250 0.449 144384
handcrafted-lfcc-fused-late 2 10 0.002276 8.776084 113.102 0.452 144542
handcrafted-lfcc-fused-late 2 11 0.001772 8.958478 112.417 0.455 144856
handcrafted-lfcc-fused-late 3 1 2.907166 2.252047 142.961 0.355 139370
handcrafted-lfcc-fused-late 3 2 1.440047 2.640223 108.077 0.365 139654
handcrafted-lfcc-fused-late 3 3 0.516698 3.802805 108.831 0.382 140631
handcrafted-lfcc-fused-late 3 4 0.153128 5.306917 105.829 0.397 141434
handcrafted-lfcc-fused-late 3 5 0.047382 6.325037 106.700 0.416 142782
handcrafted-lfcc-fused-late 3 6 0.019345 7.041007 103.937 0.426 143296
handcrafted-lfcc-fused-late 3 7 0.009685 7.630610 110.223 0.436 143646
handcrafted-lfcc-fused-late 3 8 0.005063 8.185115 105.721 0.445 144454
handcrafted-lfcc-fused-late 3 9 0.003153 8.478612 104.061 0.449 144384
handcrafted-lfcc-fused-late 3 10 0.002276 8.776084 106.369 0.452 144542
handcrafted-lfcc-fused-late 3 11 0.001772 8.958478 107.508 0.455 144856
handcrafted-lfcc-fused-late 4 1 2.907166 2.252047 139.009 0.355 139370
handcrafted-lfcc-fused-late 4 2 1.440047 2.640223 120.071 0.365 139654
handcrafted-lfcc-fused-late 4 3 0.516698 3.802805 113.677 0.382 140631
handcrafted-lfcc-fused-late 4 4 0.153128 5.306917 115.033 0.397 141434
handcrafted-lfcc-fused-late 4 5 0.047382 6.325037 114.456 0.416 142782
handcrafted-lfcc-fused-late 4 6 0.019345 7.041007 112.945 0.426 143296
handcrafted-lfcc-fused-late 4 7 0.009685 7.630610 114.400 0.436 143646
handcrafted-lfcc-fused-late 4 8 0.005063 8.185115 109.103 0.445 144454
handcrafted-lfcc-fused-late 4 9 0.003153 8.478612 115.499 0.449 144384
handcrafted-lfcc-fused-late 4 10 0.002276 8.776084 108.347 0.452 144542
handcrafted-lfcc-fused-late 4 11 0.001772 8.958478 120.093 0.455 144856
