feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc-fused-late 0 1 1.742581 2.935194 78.951 0.161 58129
handcrafted-lfcc-fused-late 0 2 0.521405 3.506897 74.096 0.230 78028
handcrafted-lfcc-fused-late 0 3 0.154867 4.028546 74.851 0.282 92272
handcrafted-lfcc-fused-late 0 4 0.048872 4.432748 76.330 0.266 83187
handcrafted-lfcc-fused-late 0 5 0.016353 4.705128 80.184 0.333 103130
handcrafted-lfcc-fused-late 0 6 0.007451 4.904253 77.476 0.324 98682
handcrafted-lfcc-fused-late 0 7 0.004452 5.048472 79.444 0.320 96342
handcrafted-lfcc-fused-late 0 8 0.002776 5.143025 80.811 0.359 108483
handcrafted-lfcc-fused-late 0 9 0.002160 5.209807 77.846 0.360 107210
handcrafted-lfcc-fused-late 0 10 0.001671 5.256396 79.304 0.329 97875
handcrafted-lfcc-fused-late 0 11 0.001539 5.288577 79.502 0.368 109733
handcrafted-lfcc-fused-late 1 1 1.329756 4.399000 151.266 0.233 82993
handcrafted-lfcc-fused-late 1 2 0.328122 6.288914 163.308 0.281 92852
handcrafted-lfcc-fused-late 1 3 0.152726 7.295017 165.541 0.312 98093
handcrafted-lfcc-fused-late 1 4 0.091213 7.599313 162.689 0.318 99685
handcrafted-lfcc-fused-late 1 5 0.062762 7.879929 164.534 0.327 101033
handcrafted-lfcc-fused-late 1 6 0.044989 8.056616 156.373 0.327 98877
handcrafted-lfcc-fused-late 1 7 0.032192 8.155120 146.616 0.342 104793
handcrafted-lfcc-fused-late 1 8 0.025325 8.257804 142.110 0.341 102189
handcrafted-lfcc-fused-late 1 9 0.019973 8.250026 141.770 0.353 105981
handcrafted-lfcc-fused-late 1 10 0.015501 8.327724 137.215 0.369 111530
handcrafted-lfcc-fused-late 1 11 0.012284 8.429296 116.560 0.363 109603
handcrafted-lfcc-fused-late 2 1 1.161416 4.637964 185.667 0.219 75463
handcrafted-lfcc-fused-late 2 2 0.283320 6.243907 173.929 0.276 90180
handcrafted-lfcc-fused-late 2 3 0.118259 7.169675 176.097 0.294 92224
handcrafted-lfcc-fused-late 2 4 0.064905 7.681455 174.670 0.308 95674
handcrafted-lfcc-fused-late 2 5 0.040970 7.941211 172.027 0.317 96542
handcrafted-lfcc-fused-late 2 6 0.028731 8.072839 159.104 0.336 103270
handcrafted-lfcc-fused-late 2 7 0.019497 8.263507 156.425 0.316 95611
handcrafted-lfcc-fused-late 2 8 0.015667 8.406223 154.681 0.327 97887
handcrafted-lfcc-fused-late 2 9 0.010808 8.504456 153.367 0.343 102804
handcrafted-lfcc-fused-late 2 10 0.008792 8.574677 141.714 0.346 103236
handcrafted-lfcc-fused-late 2 11 0.006978 8.662887 120.269 0.343 101042
handcrafted-lfcc-fused-late 3 1 1.155988 4.445762 132.154 0.206 70976
handcrafted-lfcc-fused-late 3 2 0.257592 6.416419 160.711 0.270 87453
handcrafted-lfcc-fused-late 3 3 0.110429 7.442664 179.271 0.285 87930
handcrafted-lfcc-fused-late 3 4 0.063457 7.691461 161.545 0.292 89296
handcrafted-lfcc-fused-late 3 5 0.040181 7.821556 159.740 0.311 93085
handcrafted-lfcc-fused-late 3 6 0.026564 7.956340 153.153 0.315 95199
handcrafted-lfcc-fused-late 3 7 0.019189 8.037458 145.312 0.308 92126
handcrafted-lfcc-fused-late 3 8 0.013761 8.139995 144.777 0.325 96101
handcrafted-lfcc-fused-late 3 9 0.010594 8.224504 147.125 0.328 97586
handcrafted-lfcc-fused-late 3 10 0.008081 8.310468 146.079 0.337 100302
handcrafted-lfcc-fused-late 3 11 0.007014 8.387113 122.009 0.334 97505
handcrafted-lfcc-fused-late 4 1 1.098178 2.698439 74.980 0.225 83638
handcrafted-lfcc-fused-late 4 2 0.253903 3.046396 71.101 0.248 88290
handcrafted-lfcc-fused-late 4 3 0.061654 3.354481 82.383 0.288 100450
handcrafted-lfcc-fused-late 4 4 0.016284 3.621404 72.492 0.317 107032
handcrafted-lfcc-fused-late 4 5 0.005837 3.822433 72.910 0.343 114753
handcrafted-lfcc-fused-late 4 6 0.002825 3.975757 73.975 0.341 112074
handcrafted-lfcc-fused-late 4 7 0.001576 4.073474 73.771 0.357 115956
handcrafted-lfcc-fused-late 4 8 0.001059 4.154603 73.607 0.355 114827
handcrafted-lfcc-fused-late 4 9 0.000806 4.220354 71.039 0.344 110516
handcrafted-lfcc-fused-late 4 10 0.000656 4.261165 78.525 0.383 123388
handcrafted-lfcc-fused-late 4 11 0.000533 4.287375 76.212 0.360 114628
