feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.346375 nan 226.990 0.322 122337
handcrafted-lfcc 0 2 1.420974 nan 205.337 0.340 123597
handcrafted-lfcc 0 3 1.313462 nan 231.806 0.356 126956
handcrafted-lfcc 0 4 1.271808 nan 201.962 0.355 126685
handcrafted-lfcc 0 5 1.204835 nan 205.515 0.351 124086
handcrafted-lfcc 0 6 1.159160 nan 194.977 0.347 124023
handcrafted-lfcc 0 7 1.129046 nan 242.769 0.348 122839
handcrafted-lfcc 0 8 1.121145 nan 212.334 0.348 122624
handcrafted-lfcc 0 9 1.087847 nan 205.202 0.351 122472
handcrafted-lfcc 0 10 1.104707 nan 205.299 0.359 125663
handcrafted-lfcc 0 11 1.065030 nan 244.080 0.363 126491
handcrafted-lfcc 0 12 1.093576 nan 264.451 0.355 123662
handcrafted-lfcc 0 13 1.072075 nan 203.946 0.358 125141
handcrafted-lfcc 0 14 1.047861 nan 208.247 0.361 126558
handcrafted-lfcc 0 15 1.061126 nan 223.999 0.356 124252
handcrafted-lfcc 0 16 1.117248 nan 205.888 0.355 123791
handcrafted-lfcc 0 17 1.027482 nan 211.526 0.355 123672
handcrafted-lfcc 0 18 0.962304 nan 204.945 0.354 119773
handcrafted-lfcc 0 19 0.934538 nan 203.251 0.357 121957
handcrafted-lfcc 0 20 0.983274 nan 202.736 0.344 117962
handcrafted-lfcc 0 21 1.024057 nan 230.054 0.351 120203
handcrafted-lfcc 0 22 0.912444 nan 211.673 0.352 120604
handcrafted-lfcc 0 23 0.930918 nan 214.512 0.354 120137
handcrafted-lfcc 0 24 0.938278 nan 202.308 0.341 115861
handcrafted-lfcc 0 25 0.829479 nan 209.654 0.344 116299
handcrafted-lfcc 0 26 0.776117 nan 206.911 0.355 119556
handcrafted-lfcc 0 27 0.791161 nan 204.648 0.349 117007
handcrafted-lfcc 0 28 0.721494 nan 205.016 0.338 113739
handcrafted-lfcc 0 29 0.732581 nan 199.684 0.338 112739
handcrafted-lfcc 0 30 0.676579 nan 236.534 0.350 116989
handcrafted-lfcc 0 31 0.820083 nan 213.870 0.355 116703
handcrafted-lfcc 0 32 0.755775 nan 202.137 0.349 115254
handcrafted-lfcc 0 33 0.619037 nan 198.811 0.341 113604
handcrafted-lfcc 0 34 0.716977 nan 207.292 0.351 115990
handcrafted-lfcc 0 35 0.660573 nan 214.362 0.338 113315
handcrafted-lfcc 0 36 0.525524 nan 244.448 0.345 114091
handcrafted-lfcc 0 37 0.503744 nan 268.566 0.340 111927
handcrafted-lfcc 0 38 0.508854 nan 251.115 0.349 114794
handcrafted-lfcc 0 39 0.545994 nan 211.941 0.343 112260
handcrafted-lfcc 0 40 0.469926 nan 214.023 0.349 113380
handcrafted-lfcc 0 41 0.595689 nan 211.403 0.342 112472
handcrafted-lfcc 0 42 0.532142 nan 210.657 0.349 114867
handcrafted-lfcc 0 43 0.532495 nan 203.893 0.343 113115
handcrafted-lfcc 0 44 0.446493 nan 243.290 0.338 110546
handcrafted-lfcc 0 45 0.423555 nan 203.402 0.348 113572
handcrafted-lfcc 0 46 0.397665 nan 203.738 0.343 112662
handcrafted-lfcc 0 47 0.433346 nan 206.327 0.344 112375
handcrafted-lfcc 0 48 0.426072 nan 206.557 0.340 110927
handcrafted-lfcc 0 49 0.355917 nan 241.215 0.344 112447
handcrafted-lfcc 0 50 0.424030 nan 204.552 0.344 111465
handcrafted-lfcc 1 1 2.290403 nan 151.719 0.303 121551
handcrafted-lfcc 1 2 1.084692 nan 161.968 0.336 124795
handcrafted-lfcc 1 3 0.816591 nan 153.366 0.341 123811
handcrafted-lfcc 1 4 0.712562 nan 159.437 0.353 123792
handcrafted-lfcc 1 5 0.597491 nan 159.239 0.359 125772
handcrafted-lfcc 1 6 0.550309 nan 155.735 0.375 126299
handcrafted-lfcc 1 7 0.514352 nan 154.144 0.385 127779
handcrafted-lfcc 1 8 0.495593 nan 161.740 0.391 129012
handcrafted-lfcc 1 9 0.450611 nan 155.458 0.393 128636
handcrafted-lfcc 1 10 0.425604 nan 162.012 0.388 128756
handcrafted-lfcc 1 11 0.408096 nan 198.120 0.393 129727
handcrafted-lfcc 1 12 0.388119 nan 162.741 0.385 126810
handcrafted-lfcc 1 13 0.348893 nan 159.290 0.384 125948
handcrafted-lfcc 1 14 0.329918 nan 158.764 0.390 126335
handcrafted-lfcc 1 15 0.321641 nan 163.831 0.383 124804
handcrafted-lfcc 1 16 0.297343 nan 171.244 0.392 126825
handcrafted-lfcc 1 17 0.326656 nan 196.330 0.388 126815
handcrafted-lfcc 1 18 0.293584 nan 157.746 0.391 126960
handcrafted-lfcc 1 19 0.251938 nan 158.799 0.393 126616
handcrafted-lfcc 1 20 0.251609 nan 155.440 0.393 126371
handcrafted-lfcc 1 21 0.239368 nan 160.995 0.374 121696
handcrafted-lfcc 1 22 0.224543 nan 155.635 0.393 125691
handcrafted-lfcc 1 23 0.251741 nan 156.636 0.395 125985
handcrafted-lfcc 1 24 0.275591 nan 164.352 0.391 124838
handcrafted-lfcc 1 25 0.246860 nan 151.108 0.394 125540
handcrafted-lfcc 1 26 0.279144 nan 158.419 0.392 124234
handcrafted-lfcc 1 27 0.308451 nan 156.033 0.388 124789
handcrafted-lfcc 1 28 0.239526 nan 160.747 0.396 126367
handcrafted-lfcc 1 29 0.221258 nan 167.904 0.391 125303
handcrafted-lfcc 1 30 0.194604 nan 223.603 0.382 121868
handcrafted-lfcc 1 31 0.175098 nan 204.195 0.393 124243
handcrafted-lfcc 1 32 0.187689 nan 155.126 0.392 125306
handcrafted-lfcc 1 33 0.204540 nan 159.318 0.390 124283
handcrafted-lfcc 1 34 0.179833 nan 162.413 0.373 120226
handcrafted-lfcc 1 35 0.207550 nan 189.659 0.392 124676
handcrafted-lfcc 1 36 0.348151 nan 159.455 0.403 128671
handcrafted-lfcc 1 37 0.269418 nan 154.601 0.396 128667
handcrafted-lfcc 1 38 0.302642 nan 158.515 0.398 127538
handcrafted-lfcc 1 39 0.195673 nan 151.299 0.387 126945
handcrafted-lfcc 1 40 0.156612 nan 160.482 0.408 128932
handcrafted-lfcc 1 41 0.162301 nan 221.498 0.392 126335
handcrafted-lfcc 1 42 0.161026 nan 160.336 0.396 125379
handcrafted-lfcc 1 43 0.170352 nan 156.194 0.385 122734
handcrafted-lfcc 1 44 0.201383 nan 156.933 0.384 122593
handcrafted-lfcc 1 45 0.150594 nan 151.415 0.386 123185
handcrafted-lfcc 1 46 0.182139 nan 162.137 0.394 125321
handcrafted-lfcc 1 47 0.182559 nan 227.411 0.385 123347
handcrafted-lfcc 1 48 0.155723 nan 237.410 0.387 123437
handcrafted-lfcc 1 49 0.138235 nan 159.839 0.392 124791
handcrafted-lfcc 1 50 0.136730 nan 164.008 0.395 125198
handcrafted-lfcc 2 1 2.290403 nan 161.697 0.303 121551
handcrafted-lfcc 2 2 1.084692 nan 184.878 0.336 124795
handcrafted-lfcc 2 3 0.816591 nan 160.929 0.341 123811
handcrafted-lfcc 2 4 0.712562 nan 153.481 0.353 123792
handcrafted-lfcc 2 5 0.597491 nan 158.810 0.359 125772
handcrafted-lfcc 2 6 0.550309 nan 153.196 0.375 126299
handcrafted-lfcc 2 7 0.514352 nan 166.787 0.385 127779
handcrafted-lfcc 2 8 0.495593 nan 224.670 0.391 129012
handcrafted-lfcc 2 9 0.450611 nan 168.975 0.393 128636
handcrafted-lfcc 2 10 0.425604 nan 159.574 0.388 128756
handcrafted-lfcc 2 11 0.408096 nan 153.457 0.393 129727
handcrafted-lfcc 2 12 0.388119 nan 154.186 0.385 126810
handcrafted-lfcc 2 13 0.348893 nan 155.551 0.384 125948
handcrafted-lfcc 2 14 0.329918 nan 164.207 0.390 126335
handcrafted-lfcc 2 15 0.321641 nan 180.778 0.383 124804
handcrafted-lfcc 2 16 0.297343 nan 177.801 0.392 126825
handcrafted-lfcc 2 17 0.326656 nan 157.344 0.388 126815
handcrafted-lfcc 2 18 0.293584 nan 158.480 0.391 126960
handcrafted-lfcc 2 19 0.251938 nan 155.806 0.393 126616
handcrafted-lfcc 2 20 0.251609 nan 195.233 0.393 126371
handcrafted-lfcc 2 21 0.239368 nan 156.353 0.374 121696
handcrafted-lfcc 2 22 0.224543 nan 166.985 0.393 125691
handcrafted-lfcc 2 23 0.251741 nan 156.460 0.395 125985
handcrafted-lfcc 2 24 0.275591 nan 156.784 0.391 124838
handcrafted-lfcc 2 25 0.246860 nan 159.865 0.394 125540
handcrafted-lfcc 2 26 0.279144 nan 166.000 0.392 124234
handcrafted-lfcc 2 27 0.308451 nan 179.477 0.388 124789
handcrafted-lfcc 2 28 0.239526 nan 202.827 0.396 126367
handcrafted-lfcc 2 29 0.221258 nan 246.502 0.391 125303
handcrafted-lfcc 2 30 0.194604 nan 162.155 0.382 121868
handcrafted-lfcc 2 31 0.175098 nan 160.058 0.393 124243
handcrafted-lfcc 2 32 0.187689 nan 164.711 0.392 125306
handcrafted-lfcc 2 33 0.204540 nan 180.223 0.390 124283
handcrafted-lfcc 2 34 0.179833 nan 166.571 0.373 120226
handcrafted-lfcc 2 35 0.207550 nan 174.457 0.392 124676
handcrafted-lfcc 2 36 0.348151 nan 160.995 0.403 128671
handcrafted-lfcc 2 37 0.269418 nan 178.287 0.396 128667
handcrafted-lfcc 2 38 0.302642 nan 163.230 0.398 127538
handcrafted-lfcc 2 39 0.195673 nan 179.927 0.387 126945
handcrafted-lfcc 2 40 0.156612 nan 152.570 0.408 128932
handcrafted-lfcc 2 41 0.162301 nan 155.268 0.392 126335
handcrafted-lfcc 2 42 0.161026 nan 159.784 0.396 125379
handcrafted-lfcc 2 43 0.170352 nan 159.316 0.385 122734
handcrafted-lfcc 2 44 0.201383 nan 226.970 0.384 122593
handcrafted-lfcc 2 45 0.150594 nan 151.874 0.386 123185
handcrafted-lfcc 2 46 0.182139 nan 157.166 0.394 125321
handcrafted-lfcc 2 47 0.182559 nan 153.345 0.385 123347
handcrafted-lfcc 2 48 0.155723 nan 159.936 0.387 123437
handcrafted-lfcc 2 49 0.138235 nan 159.140 0.392 124791
handcrafted-lfcc 2 50 0.136730 nan 160.515 0.395 125198
handcrafted-lfcc 3 1 2.290403 nan 185.413 0.303 121551
handcrafted-lfcc 3 2 1.084692 nan 158.136 0.336 124795
handcrafted-lfcc 3 3 0.816591 nan 218.575 0.341 123811
handcrafted-lfcc 3 4 0.712562 nan 158.882 0.353 123792
handcrafted-lfcc 3 5 0.597491 nan 190.513 0.359 125772
handcrafted-lfcc 3 6 0.550309 nan 157.546 0.375 126299
handcrafted-lfcc 3 7 0.514352 nan 150.167 0.385 127779
handcrafted-lfcc 3 8 0.495593 nan 148.356 0.391 129012
handcrafted-lfcc 3 9 0.450611 nan 148.243 0.393 128636
handcrafted-lfcc 3 10 0.425604 nan 159.400 0.388 128756
handcrafted-lfcc 3 11 0.408096 nan 155.993 0.393 129727
handcrafted-lfcc 3 12 0.388119 nan 156.682 0.385 126810
handcrafted-lfcc 3 13 0.348893 nan 155.681 0.384 125948
handcrafted-lfcc 3 14 0.329918 nan 161.123 0.390 126335
handcrafted-lfcc 3 15 0.321641 nan 156.842 0.383 124804
handcrafted-lfcc 3 16 0.297343 nan 152.067 0.392 126825
handcrafted-lfcc 3 17 0.326656 nan 150.999 0.388 126815
handcrafted-lfcc 3 18 0.293584 nan 175.386 0.391 126960
handcrafted-lfcc 3 19 0.251938 nan 201.823 0.393 126616
handcrafted-lfcc 3 20 0.251609 nan 182.674 0.393 126371
handcrafted-lfcc 3 21 0.239368 nan 162.153 0.374 121696
handcrafted-lfcc 3 22 0.224543 nan 155.207 0.393 125691
handcrafted-lfcc 3 23 0.251741 nan 193.544 0.395 125985
handcrafted-lfcc 3 24 0.275591 nan 168.470 0.391 124838
handcrafted-lfcc 3 25 0.246860 nan 154.010 0.394 125540
handcrafted-lfcc 3 26 0.279144 nan 158.451 0.392 124234
handcrafted-lfcc 3 27 0.308451 nan 154.698 0.388 124789
handcrafted-lfcc 3 28 0.239526 nan 153.482 0.396 126367
handcrafted-lfcc 3 29 0.221258 nan 159.342 0.391 125303
handcrafted-lfcc 3 30 0.194604 nan 244.305 0.382 121868
handcrafted-lfcc 3 31 0.175098 nan 154.798 0.393 124243
handcrafted-lfcc 3 32 0.187689 nan 154.999 0.392 125306
handcrafted-lfcc 3 33 0.204540 nan 157.741 0.390 124283
handcrafted-lfcc 3 34 0.179833 nan 152.612 0.373 120226
handcrafted-lfcc 3 35 0.207550 nan 156.617 0.392 124676
handcrafted-lfcc 3 36 0.348151 nan 158.048 0.403 128671
handcrafted-lfcc 3 37 0.269418 nan 157.212 0.396 128667
handcrafted-lfcc 3 38 0.302642 nan 167.453 0.398 127538
handcrafted-lfcc 3 39 0.195673 nan 172.872 0.387 126945
handcrafted-lfcc 3 40 0.156612 nan 160.419 0.408 128932
handcrafted-lfcc 3 41 0.162301 nan 182.439 0.392 126335
handcrafted-lfcc 3 42 0.161026 nan 177.792 0.396 125379
handcrafted-lfcc 3 43 0.170352 nan 160.776 0.385 122734
handcrafted-lfcc 3 44 0.201383 nan 162.961 0.384 122593
handcrafted-lfcc 3 45 0.150594 nan 153.992 0.386 123185
handcrafted-lfcc 3 46 0.182139 nan 158.352 0.394 125321
handcrafted-lfcc 3 47 0.182559 nan 171.148 0.385 123347
handcrafted-lfcc 3 48 0.155723 nan 160.621 0.387 123437
handcrafted-lfcc 3 49 0.138235 nan 167.779 0.392 124791
handcrafted-lfcc 3 50 0.136730 nan 221.227 0.395 125198
handcrafted-lfcc 4 1 2.290403 nan 157.172 0.303 121551
handcrafted-lfcc 4 2 1.084692 nan 151.184 0.336 124795
handcrafted-lfcc 4 3 0.816591 nan 164.960 0.341 123811
handcrafted-lfcc 4 4 0.712562 nan 150.328 0.353 123792
handcrafted-lfcc 4 5 0.597491 nan 158.253 0.359 125772
handcrafted-lfcc 4 6 0.550309 nan 154.709 0.375 126299
handcrafted-lfcc 4 7 0.514352 nan 189.212 0.385 127779
handcrafted-lfcc 4 8 0.495593 nan 178.472 0.391 129012
handcrafted-lfcc 4 9 0.450611 nan 189.856 0.393 128636
handcrafted-lfcc 4 10 0.425604 nan 157.274 0.388 128756
handcrafted-lfcc 4 11 0.408096 nan 156.180 0.393 129727
handcrafted-lfcc 4 12 0.388119 nan 161.519 0.385 126810
handcrafted-lfcc 4 13 0.348893 nan 158.514 0.384 125948
