feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.202027 nan 97.578 0.168 60941
handcrafted-lfcc 0 2 1.061525 nan 92.173 0.170 56800
handcrafted-lfcc 0 3 0.605927 nan 90.864 0.214 69193
handcrafted-lfcc 0 4 0.392605 nan 99.607 0.258 82487
handcrafted-lfcc 0 5 0.272758 nan 94.550 0.227 68694
handcrafted-lfcc 0 6 0.210635 nan 128.218 0.242 74038
handcrafted-lfcc 0 7 0.153385 nan 95.946 0.237 69389
handcrafted-lfcc 0 8 0.117711 nan 93.175 0.275 79768
handcrafted-lfcc 0 9 0.094550 nan 93.508 0.267 77206
handcrafted-lfcc 0 10 0.075778 nan 91.297 0.283 82659
handcrafted-lfcc 0 11 0.061276 nan 96.522 0.270 77567
handcrafted-lfcc 0 12 0.049638 nan 96.835 0.275 76495
handcrafted-lfcc 0 13 0.040619 nan 107.306 0.282 79047
handcrafted-lfcc 0 14 0.032979 nan 99.410 0.298 82564
handcrafted-lfcc 0 15 0.027716 nan 93.025 0.279 75711
handcrafted-lfcc 0 16 0.023318 nan 96.242 0.272 74855
handcrafted-lfcc 0 17 0.020079 nan 96.520 0.309 87836
handcrafted-lfcc 0 18 0.017262 nan 94.201 0.289 81013
handcrafted-lfcc 0 19 0.015503 nan 92.723 0.309 84776
handcrafted-lfcc 0 20 0.013822 nan 92.101 0.298 80434
handcrafted-lfcc 0 21 0.012282 nan 96.006 0.302 82379
handcrafted-lfcc 0 22 0.010899 nan 99.337 0.318 88285
handcrafted-lfcc 0 23 0.009987 nan 96.216 0.323 87388
handcrafted-lfcc 0 24 0.008982 nan 102.570 0.322 87995
handcrafted-lfcc 0 25 0.008142 nan 94.947 0.306 83878
handcrafted-lfcc 0 26 0.007348 nan 93.029 0.293 77514
handcrafted-lfcc 0 27 0.006546 nan 111.631 0.299 76435
handcrafted-lfcc 0 28 0.006038 nan 93.783 0.306 83410
handcrafted-lfcc 0 29 0.005620 nan 96.079 0.314 84749
handcrafted-lfcc 0 30 0.005011 nan 95.933 0.324 88608
handcrafted-lfcc 0 31 0.004505 nan 97.469 0.302 78254
handcrafted-lfcc 0 32 0.004165 nan 97.082 0.319 85622
handcrafted-lfcc 0 33 0.004012 nan 97.115 0.323 85726
handcrafted-lfcc 0 34 0.003832 nan 92.186 0.307 82277
handcrafted-lfcc 0 35 0.003588 nan 96.701 0.321 86118
handcrafted-lfcc 0 36 0.003357 nan 92.849 0.328 87550
handcrafted-lfcc 0 37 0.003181 nan 202.894 0.337 91632
handcrafted-lfcc 0 38 0.002944 nan 95.020 0.351 95423
handcrafted-lfcc 0 39 0.002802 nan 93.153 0.319 84025
handcrafted-lfcc 0 40 0.002691 nan 95.349 0.309 82636
handcrafted-lfcc 0 41 0.002541 nan 100.037 0.326 86609
handcrafted-lfcc 0 42 0.002401 nan 100.223 0.299 77895
handcrafted-lfcc 0 43 0.002256 nan 161.589 0.324 86370
handcrafted-lfcc 0 44 0.002143 nan 92.324 0.333 88686
handcrafted-lfcc 0 45 0.002028 nan 100.909 0.331 88855
handcrafted-lfcc 0 46 0.001920 nan 107.622 0.323 84826
handcrafted-lfcc 0 47 0.001853 nan 92.479 0.329 87983
handcrafted-lfcc 0 48 0.001772 nan 96.559 0.313 81785
handcrafted-lfcc 0 49 0.001732 nan 93.723 0.316 82797
handcrafted-lfcc 0 50 0.001650 nan 98.750 0.348 92002
handcrafted-lfcc 1 1 2.257676 nan 89.637 0.165 59516
handcrafted-lfcc 1 2 1.237291 nan 87.226 0.180 61723
handcrafted-lfcc 1 3 0.676154 nan 91.592 0.203 64470
handcrafted-lfcc 1 4 0.469532 nan 86.318 0.236 72488
handcrafted-lfcc 1 5 0.358227 nan 84.881 0.237 70335
handcrafted-lfcc 1 6 0.279176 nan 87.482 0.271 79443
handcrafted-lfcc 1 7 0.227816 nan 104.502 0.262 76795
handcrafted-lfcc 1 8 0.187386 nan 85.377 0.268 77659
handcrafted-lfcc 1 9 0.161536 nan 90.038 0.281 80658
handcrafted-lfcc 1 10 0.126457 nan 85.461 0.271 75644
handcrafted-lfcc 1 11 0.109291 nan 95.840 0.301 86197
handcrafted-lfcc 1 12 0.091090 nan 89.774 0.281 79151
handcrafted-lfcc 1 13 0.078341 nan 90.506 0.305 85995
handcrafted-lfcc 1 14 0.068522 nan 87.397 0.312 88508
handcrafted-lfcc 1 15 0.055076 nan 129.351 0.292 81913
handcrafted-lfcc 1 16 0.047637 nan 88.753 0.302 83769
handcrafted-lfcc 1 17 0.041015 nan 86.596 0.296 81653
handcrafted-lfcc 1 18 0.038299 nan 89.776 0.311 85362
handcrafted-lfcc 1 19 0.031737 nan 86.718 0.299 81943
handcrafted-lfcc 1 20 0.027037 nan 95.858 0.282 75676
handcrafted-lfcc 1 21 0.024474 nan 87.435 0.299 83157
handcrafted-lfcc 1 22 0.021828 nan 89.856 0.320 87888
handcrafted-lfcc 1 23 0.019509 nan 91.621 0.301 81877
handcrafted-lfcc 1 24 0.016926 nan 87.825 0.302 81841
handcrafted-lfcc 1 25 0.015411 nan 113.964 0.294 79050
handcrafted-lfcc 1 26 0.014140 nan 88.259 0.304 83067
handcrafted-lfcc 1 27 0.012668 nan 87.231 0.300 80577
handcrafted-lfcc 1 28 0.011661 nan 86.700 0.314 84671
handcrafted-lfcc 1 29 0.010680 nan 88.723 0.301 80690
handcrafted-lfcc 1 30 0.010070 nan 86.440 0.307 82894
handcrafted-lfcc 1 31 0.009294 nan 86.239 0.310 82510
handcrafted-lfcc 1 32 0.008535 nan 84.408 0.318 85887
handcrafted-lfcc 1 33 0.007760 nan 90.015 0.301 80896
handcrafted-lfcc 1 34 0.007527 nan 85.813 0.307 82292
handcrafted-lfcc 1 35 0.006822 nan 87.632 0.301 79685
handcrafted-lfcc 1 36 0.006329 nan 87.018 0.313 84104
handcrafted-lfcc 1 37 0.006068 nan 85.400 0.308 81109
handcrafted-lfcc 1 38 0.005557 nan 86.971 0.313 83674
handcrafted-lfcc 1 39 0.005205 nan 112.884 0.322 85051
