feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.801189 nan 447.580 0.301 120888
handcrafted-lfcc 0 2 1.695695 nan 205.222 0.333 125015
handcrafted-lfcc 0 3 1.423507 nan 170.160 0.331 121558
handcrafted-lfcc 0 4 1.405251 nan 230.533 0.346 126149
handcrafted-lfcc 0 5 1.320505 nan 149.459 0.352 126494
handcrafted-lfcc 0 6 1.363030 nan 210.460 0.347 124401
handcrafted-lfcc 0 7 1.302077 nan 178.109 0.337 122852
handcrafted-lfcc 0 8 1.333165 nan 164.718 0.348 126239
handcrafted-lfcc 0 9 1.244930 nan 151.493 0.341 122188
handcrafted-lfcc 0 10 1.278759 nan 152.821 0.325 117710
handcrafted-lfcc 0 11 1.234723 nan 182.723 0.365 130001
handcrafted-lfcc 0 12 1.225281 nan 173.243 0.344 122609
handcrafted-lfcc 0 13 1.213167 nan 154.669 0.334 121768
handcrafted-lfcc 0 14 1.234761 nan 161.771 0.374 133268
handcrafted-lfcc 0 15 1.178192 nan 199.118 0.340 121789
handcrafted-lfcc 0 16 1.208587 nan 159.957 0.341 122768
handcrafted-lfcc 0 17 1.132552 nan 166.334 0.342 123152
handcrafted-lfcc 0 18 1.168694 nan 155.329 0.341 122173
handcrafted-lfcc 0 19 1.156193 nan 166.867 0.332 120066
handcrafted-lfcc 0 20 1.107805 nan 173.125 0.347 121207
handcrafted-lfcc 0 21 1.207314 nan 164.957 0.374 129283
handcrafted-lfcc 0 22 1.111101 nan 162.531 0.348 123979
handcrafted-lfcc 0 23 1.146787 nan 161.601 0.345 124462
handcrafted-lfcc 0 24 1.165126 nan 157.384 0.360 127908
handcrafted-lfcc 0 25 1.103835 nan 159.620 0.332 119486
handcrafted-lfcc 0 26 1.155553 nan 161.841 0.377 130736
handcrafted-lfcc 0 27 1.200226 nan 165.342 0.328 116564
handcrafted-lfcc 0 28 1.134105 nan 160.110 0.330 119381
handcrafted-lfcc 0 29 1.166954 nan 170.256 0.334 118973
handcrafted-lfcc 0 30 1.071360 nan 185.268 0.329 117498
handcrafted-lfcc 0 31 1.109440 nan 170.110 0.330 116865
handcrafted-lfcc 0 32 1.088018 nan 180.864 0.331 115795
handcrafted-lfcc 0 33 1.091852 nan 184.641 0.333 117218
handcrafted-lfcc 0 34 1.381051 nan 163.836 0.363 125007
handcrafted-lfcc 0 35 1.146802 nan 155.025 0.358 121799
handcrafted-lfcc 0 36 1.059717 nan 174.107 0.361 124902
handcrafted-lfcc 0 37 1.080338 nan 172.473 0.335 117436
handcrafted-lfcc 0 38 1.102880 nan 169.417 0.373 128688
handcrafted-lfcc 0 39 1.039058 nan 170.541 0.329 115931
handcrafted-lfcc 0 40 1.177083 nan 162.055 0.340 119996
handcrafted-lfcc 0 41 1.123678 nan 186.794 0.378 129538
handcrafted-lfcc 0 42 1.068457 nan 367.877 0.331 116940
handcrafted-lfcc 0 43 1.084881 nan 166.770 0.376 127045
handcrafted-lfcc 0 44 1.027338 nan 143.736 0.370 126248
handcrafted-lfcc 0 45 1.021944 nan 181.510 0.317 111241
handcrafted-lfcc 0 46 1.133531 nan 202.103 0.361 122612
handcrafted-lfcc 0 47 1.086334 nan 206.998 0.329 115675
handcrafted-lfcc 0 48 1.064572 nan 270.794 0.357 122146
handcrafted-lfcc 0 49 1.068207 nan 209.467 0.335 116773
handcrafted-lfcc 0 50 1.079269 nan 160.754 0.325 115691
handcrafted-lfcc 1 1 2.626036 nan 184.217 0.299 124566
handcrafted-lfcc 1 2 1.618750 nan 182.302 0.309 122210
handcrafted-lfcc 1 3 1.107406 nan 245.025 0.332 126028
handcrafted-lfcc 1 4 0.933829 nan 137.540 0.342 126784
handcrafted-lfcc 1 5 0.841524 nan 153.319 0.359 129884
handcrafted-lfcc 1 6 0.783922 nan 131.226 0.361 127814
handcrafted-lfcc 1 7 0.680129 nan 138.736 0.361 127102
handcrafted-lfcc 1 8 0.639149 nan 518.528 0.365 127990
handcrafted-lfcc 1 9 0.611870 nan 246.609 0.376 128140
handcrafted-lfcc 1 10 0.588290 nan 279.940 0.366 125945
handcrafted-lfcc 1 11 0.559460 nan 141.394 0.378 128958
handcrafted-lfcc 1 12 0.503217 nan 241.308 0.372 126542
handcrafted-lfcc 1 13 0.499134 nan 600.737 0.373 126255
handcrafted-lfcc 1 14 0.439820 nan 1975.020 0.387 130191
handcrafted-lfcc 1 15 0.400200 nan 1714.646 0.384 127993
handcrafted-lfcc 1 16 0.413603 nan 786.377 0.393 129874
