feature_set fold epoch train_loss val_loss epoch_ms spike_rate sops
handcrafted-lfcc 0 1 2.373775 nan 140.619 0.173 63632
handcrafted-lfcc 0 2 1.445015 nan 136.255 0.183 63878
handcrafted-lfcc 0 3 0.980803 nan 150.625 0.272 91953
handcrafted-lfcc 0 4 0.697793 nan 149.454 0.262 84264
handcrafted-lfcc 0 5 0.532182 nan 215.403 0.272 92661
handcrafted-lfcc 0 6 0.429156 nan 229.011 0.266 88301
handcrafted-lfcc 0 7 0.342232 nan 504.895 0.278 88599
handcrafted-lfcc 0 8 0.278722 nan 275.062 0.231 67895
handcrafted-lfcc 0 9 0.225019 nan 137.014 0.313 98006
handcrafted-lfcc 0 10 0.182860 nan 118.719 0.227 65576
handcrafted-lfcc 0 11 0.154445 nan 143.050 0.275 82573
handcrafted-lfcc 0 12 0.128157 nan 125.581 0.276 86347
handcrafted-lfcc 0 13 0.107692 nan 131.510 0.294 87216
handcrafted-lfcc 0 14 0.092519 nan 124.503 0.311 94240
handcrafted-lfcc 0 15 0.081582 nan 137.041 0.292 89371
handcrafted-lfcc 0 16 0.072796 nan 804.492 0.293 88979
handcrafted-lfcc 0 17 0.072440 nan 133.726 0.351 109823
handcrafted-lfcc 0 18 0.058870 nan 130.059 0.346 105101
handcrafted-lfcc 0 19 0.050097 nan 139.275 0.318 93349
handcrafted-lfcc 0 20 0.043474 nan 164.099 0.296 89242
handcrafted-lfcc 0 21 0.039188 nan 129.912 0.314 89463
handcrafted-lfcc 0 22 0.035062 nan 133.564 0.247 66497
handcrafted-lfcc 0 23 0.031473 nan 133.230 0.365 107597
handcrafted-lfcc 0 24 0.029566 nan 135.222 0.354 104835
handcrafted-lfcc 0 25 0.028421 nan 135.918 0.281 76236
handcrafted-lfcc 0 26 0.025054 nan 146.980 0.349 104633
handcrafted-lfcc 0 27 0.023527 nan 133.033 0.257 66743
handcrafted-lfcc 0 28 0.021487 nan 148.230 0.266 74899
handcrafted-lfcc 0 29 0.019692 nan 136.727 0.319 96189
handcrafted-lfcc 0 30 0.018287 nan 160.467 0.297 86831
handcrafted-lfcc 0 31 0.017435 nan 143.939 0.284 80273
handcrafted-lfcc 0 32 0.016375 nan 266.651 0.310 92176
handcrafted-lfcc 0 33 0.015281 nan 230.024 0.307 84508
handcrafted-lfcc 0 34 0.014281 nan 171.388 0.314 88024
handcrafted-lfcc 0 35 0.013679 nan 172.032 0.285 77719
handcrafted-lfcc 0 36 0.012723 nan 133.315 0.311 86006
handcrafted-lfcc 0 37 0.011906 nan 133.072 0.284 80077
handcrafted-lfcc 0 38 0.011443 nan 141.226 0.338 88010
handcrafted-lfcc 0 39 0.011090 nan 131.302 0.274 72652
handcrafted-lfcc 0 40 0.010316 nan 151.339 0.340 94330
handcrafted-lfcc 0 41 0.010067 nan 129.500 0.349 90237
handcrafted-lfcc 0 42 0.009612 nan 127.269 0.325 97611
handcrafted-lfcc 0 43 0.009020 nan 128.776 0.335 96885
handcrafted-lfcc 0 44 0.008447 nan 415.567 0.348 96859
handcrafted-lfcc 0 45 0.008010 nan 231.220 0.302 93617
handcrafted-lfcc 0 46 0.007638 nan 149.377 0.301 78739
handcrafted-lfcc 0 47 0.007434 nan 136.902 0.357 103049
handcrafted-lfcc 0 48 0.007092 nan 140.083 0.265 65641
handcrafted-lfcc 0 49 0.006640 nan 126.196 0.302 78769
handcrafted-lfcc 0 50 0.006135 nan 151.775 0.307 83250
handcrafted-lfcc 1 1 2.317414 nan 131.908 0.160 61089
handcrafted-lfcc 1 2 1.429025 nan 102.795 0.187 69152
handcrafted-lfcc 1 3 0.879809 nan 107.004 0.181 64738
handcrafted-lfcc 1 4 0.567078 nan 154.880 0.217 73018
handcrafted-lfcc 1 5 0.411443 nan 138.732 0.237 76619
handcrafted-lfcc 1 6 0.328758 nan 171.399 0.264 82350
handcrafted-lfcc 1 7 0.270821 nan 148.588 0.256 79112
handcrafted-lfcc 1 8 0.225837 nan 355.834 0.256 77603
handcrafted-lfcc 1 9 0.194167 nan 117.505 0.274 82247
handcrafted-lfcc 1 10 0.168059 nan 118.622 0.273 81560
handcrafted-lfcc 1 11 0.142163 nan 1155.627 0.279 83270
handcrafted-lfcc 1 12 0.118147 nan 179.475 0.276 81076
handcrafted-lfcc 1 13 0.100024 nan 174.399 0.284 83889
