lr,hidden,loss_mode,num_passes,fold,train_loss,train_acc,val_acc,time_s
0.001,32,van_rossum,1,1,0.3763942208297816,0.4255663430420712,0.4261057173678533,9.13
0.001,32,van_rossum,1,2,0.38864413945420273,0.4190938511326861,0.39374325782092773,9.42
0.001,32,van_rossum,1,3,0.37707871944515964,0.3918554476806904,0.3959007551240561,9.22
0.001,32,van_rossum,1,4,0.3984218460006364,0.3948220064724919,0.42071197411003236,9.27
0.001,32,van_rossum,1,5,0.37208316701001204,0.4166666666666667,0.37216828478964403,9.22
0.001,64,van_rossum,1,1,0.37891363673225575,0.4236785329018339,0.42179072276159657,9.54
0.001,64,van_rossum,1,2,0.379788753766458,0.41639697950377563,0.47896440129449835,9.65
0.001,64,van_rossum,1,3,0.35902481020589994,0.45738942826321466,0.4023732470334412,9.76
0.001,64,van_rossum,1,4,0.36640512104173306,0.4228694714131607,0.3883495145631068,9.62
0.001,64,van_rossum,1,5,0.3878123317207205,0.42071197411003236,0.41639697950377563,9.53
0.001,64,membrane,1,1,0.18907845119956757,0.331445523193096,0.3408845738942826,8.96
0.001,64,membrane,1,2,0.18721239289676744,0.33683926645091694,0.3193096008629989,8.92
0.001,64,membrane,1,3,0.1869574158805088,0.32982740021574974,0.34735706580366776,9.16
0.001,64,membrane,1,4,0.18684564289730343,0.33737864077669905,0.31715210355987056,9.04
0.001,64,membrane,1,5,0.18709273073729832,0.33117583603020495,0.3419633225458468,8.99
