lr,hidden,loss_mode,num_passes,time_s,final_loss,final_acc
0.0001,1024,mse_vector,10,5982.88,0.17917162285717816,0.5091693635382956
0.0001,1024,mse_vector,5,3168.37,0.17905973365456027,0.5063646170442287
0.0001,256,mse_vector,5,559.64,0.18200204137073753,0.46127292340884574
0.0001,256,mse_vector,10,1037.78,0.18167260713240346,0.46062567421790723
0.0005,1024,van_rossum,5,3132.62,0.3539978876275924,0.4601941747572815
0.0005,1024,mse_vector,10,6080.06,0.1776179761048145,0.4593311758360302
0.001,512,van_rossum,10,2162.45,0.3553643044080292,0.4588996763754045
0.0005,1024,mse_vector,5,3430.39,0.17864808158259818,0.45846817691477887
0.001,512,van_rossum,5,1108.69,0.35270417793025993,0.45738942826321466
0.0005,512,mse_vector,5,1016.55,0.17755089751339267,0.455663430420712
0.0005,512,mse_vector,10,2005.28,0.17773992871903807,0.45544768069039915
0.0005,512,van_rossum,5,1018.52,0.35505213969605126,0.4539374325782093
0.001,1024,van_rossum,10,6035.08,0.3543337617620038,0.4528586839266451
0.0005,256,van_rossum,10,1298.77,0.362315713516974,0.44919093851132685
0.001,1024,van_rossum,5,3527.07,0.35426263431129335,0.44919093851132685
0.0005,512,van_rossum,10,1854.42,0.3522956002298682,0.4457389428263215
0.001,256,van_rossum,10,1092.68,0.3578331758675066,0.44552319309600863
0.0005,1024,van_rossum,10,6140.47,0.3538777640979524,0.44293419633225456
0.0005,256,van_rossum,5,672.84,0.36392237584567766,0.4425026968716289
0.0001,512,van_rossum,5,1054.66,0.36584532253178964,0.438403451995685
0.0005,256,mse_vector,10,1092.9,0.17863009003952482,0.43646170442286947
0.001,256,van_rossum,5,574.69,0.36955557836555225,0.43387270765911545
0.0005,256,mse_vector,5,567.13,0.1787289965371355,0.43149946062567424
0.0001,1024,van_rossum,5,3188.12,0.3580821756020333,0.43106796116504853
0.0001,256,van_rossum,5,576.61,0.3671413009349325,0.4306364617044229
0.0001,512,van_rossum,10,1690.79,0.3668282685863676,0.42826321467098166
0.0001,1024,van_rossum,10,5287.46,0.35540542511878276,0.42826321467098166
0.0001,512,mse_vector,5,1032.57,0.18067346420038607,0.419848975188781
0.001,256,mse_vector,10,1023.62,0.17904650658658408,0.41941747572815535
0.0001,512,mse_vector,10,1797.0,0.18059888367642604,0.41877022653721685
0.0001,256,van_rossum,10,1085.61,0.368430201463329,0.41078748651564184
0.001,256,mse_vector,5,537.51,0.17962191820208953,0.4053937432578209
0.001,1024,mse_vector,5,3494.99,0.17958256373384882,0.4053937432578209
0.001,512,mse_vector,10,2086.61,0.17850287915433494,0.39848975188781016
0.001,512,mse_vector,5,1111.71,0.17913825785522194,0.39568500539374324
0.001,1024,mse_vector,10,7644.68,0.17987100926610644,0.3933117583603021
