lr,hidden,loss_mode,num_passes,time_s,final_loss,final_acc
0.001,64,van_rossum,1,2.45,0.029793769717216492,1.0
0.001,64,van_rossum,2,2.97,0.029793769717216492,1.0
0.001,64,van_rossum,5,6.39,0.029793769717216492,1.0
0.001,64,membrane,1,1.59,0.007614218108355999,1.0
0.001,64,membrane,2,2.66,0.007614217530936003,1.0
0.001,64,membrane,5,6.14,0.007614218629896641,1.0
0.001,64,mse_vector,1,1.55,0.005045175207778811,1.0
0.001,64,mse_vector,2,2.64,0.005045175291597843,1.0
0.001,64,mse_vector,5,6.41,0.005045175366103649,1.0
0.001,128,van_rossum,1,1.94,0.02144216902554035,1.0
0.001,128,van_rossum,2,3.36,0.02144216902554035,1.0
0.001,128,van_rossum,5,7.36,0.02144216902554035,1.0
0.001,128,membrane,1,1.89,7.724884406343335e-05,1.0
0.001,128,membrane,2,3.11,7.724885148491012e-05,1.0
0.001,128,membrane,5,7.22,7.72488661823445e-05,1.0
0.001,128,mse_vector,1,1.88,0.0025281382398679854,1.0
0.001,128,mse_vector,2,3.12,0.002528138463385403,1.0
0.001,128,mse_vector,5,7.0,0.0025281383749097587,1.0
0.001,256,van_rossum,1,2.46,0.024079535566270353,1.0
0.001,256,van_rossum,2,4.18,0.024079535566270353,1.0
0.001,256,van_rossum,5,9.41,0.024079535566270353,1.0
0.001,256,membrane,1,2.36,0.00025947578280465677,1.0
0.001,256,membrane,2,3.95,0.00025947578804334624,1.0
0.001,256,membrane,5,8.77,0.0002594758037594147,1.0
0.001,256,mse_vector,1,2.34,0.0028512380993925036,1.0
0.001,256,mse_vector,2,3.99,0.0028512380528263746,1.0
0.001,256,mse_vector,5,8.86,0.002904084811452776,1.0
0.0005,64,van_rossum,1,1.81,0.12762670680880547,1.0
0.0005,64,van_rossum,2,3.04,0.12762670680880547,1.0
0.0005,64,van_rossum,5,6.79,0.12762670680880547,1.0
0.0005,64,membrane,1,1.63,0.034534941986203195,1.0
0.0005,64,membrane,2,2.87,0.03453493773937225,1.0
0.0005,64,membrane,5,6.62,0.03453493751585483,1.0
0.0005,64,mse_vector,1,1.67,0.026024727113544942,1.0
0.0005,64,mse_vector,2,3.02,0.026024726033210755,1.0
0.0005,64,mse_vector,5,6.51,0.026024726778268815,1.0
0.0005,128,van_rossum,1,2.03,0.12970547318458558,1.0
0.0005,128,van_rossum,2,3.42,0.12970547318458558,1.0
0.0005,128,van_rossum,5,7.4,0.12970547318458558,1.0
0.0005,128,membrane,1,1.88,0.000675538320792839,1.0
0.0005,128,membrane,2,3.31,0.000675538422074169,1.0
0.0005,128,membrane,5,7.25,0.0006755383056588471,1.0
0.0005,128,mse_vector,1,1.82,0.00988298688083887,1.0
0.0005,128,mse_vector,2,3.24,0.009882986657321452,1.0
0.0005,128,mse_vector,5,7.04,0.009882987048476934,1.0
0.0005,256,van_rossum,1,2.5,0.14101428925991058,1.0
0.0005,256,van_rossum,2,4.23,0.14101428925991058,1.0
0.0005,256,van_rossum,5,9.51,0.14101428925991058,1.0
0.0005,256,membrane,1,2.33,0.0023079071287065746,1.0
0.0005,256,membrane,2,3.9,0.0023079071938991546,1.0
0.0005,256,membrane,5,8.9,0.002307907356880605,1.0
0.0005,256,mse_vector,1,2.33,0.01473806269466877,1.0
0.0005,256,mse_vector,2,3.98,0.014738062806427478,1.0
0.0005,256,mse_vector,5,8.81,0.014738061632961034,1.0
0.0001,64,van_rossum,1,1.87,0.3333333432674408,1.0
0.0001,64,van_rossum,2,3.05,0.3333333432674408,1.0
0.0001,64,van_rossum,5,6.81,0.3333333432674408,1.0
0.0001,64,membrane,1,1.65,0.5521823120117187,1.0
0.0001,64,membrane,2,3.0,0.5521823120117187,1.0
0.0001,64,membrane,5,6.56,0.5521823334693908,1.0
0.0001,64,mse_vector,1,1.64,0.3441487503051758,1.0
0.0001,64,mse_vector,2,2.86,0.3441487503051758,1.0
0.0001,64,mse_vector,5,6.51,0.3441487503051758,1.0
0.0001,128,van_rossum,1,1.98,0.3333333432674408,1.0
0.0001,128,van_rossum,2,3.42,0.3333333432674408,1.0
0.0001,128,van_rossum,5,7.46,0.3333333432674408,1.0
0.0001,128,membrane,1,1.83,0.026259230598807335,1.0
0.0001,128,membrane,2,3.29,0.026259230598807335,1.0
0.0001,128,membrane,5,7.2,0.026259234994649886,1.0
0.0001,128,mse_vector,1,1.86,0.18827844440937042,1.0
0.0001,128,mse_vector,2,3.23,0.18827844440937042,1.0
0.0001,128,mse_vector,5,7.2,0.18827844500541688,1.0
0.0001,256,van_rossum,1,2.47,0.3333333432674408,1.0
0.0001,256,van_rossum,2,4.44,0.3333333432674408,1.0
0.0001,256,van_rossum,5,9.45,0.3333333432674408,1.0
0.0001,256,membrane,1,2.45,0.10666574329137803,1.0
0.0001,256,membrane,2,4.02,0.10666574031114578,1.0
0.0001,256,membrane,5,9.1,0.10666574418544769,1.0
0.0001,256,mse_vector,1,2.37,0.264482079744339,1.0
0.0001,256,mse_vector,2,3.99,0.264482079744339,1.0
0.0001,256,mse_vector,5,8.96,0.2644820773601532,1.0
