lr,hidden,loss_mode,num_passes,time_s,rotulos_len,final_loss,final_acc
0.001,32,rate,1,0.86,3,1.0986121940612792,1.0
0.001,32,rate,2,0.28,3,1.0986121940612792,1.0
0.001,32,membrane,1,0.15,3,2.9279447841644286,1.0
0.001,32,membrane,2,0.26,3,2.9279447841644286,1.0
0.001,32,van_rossum,1,0.17,3,0.3333333432674408,1.0
0.001,32,van_rossum,2,0.29,3,0.3333333432674408,1.0
0.001,64,rate,1,0.16,3,1.0986121940612792,1.0
0.001,64,rate,2,0.28,3,1.0986121940612792,1.0
0.001,64,membrane,1,0.17,3,0.5823195242881775,1.0
0.001,64,membrane,2,0.32,3,0.5823195433616638,1.0
0.001,64,van_rossum,1,0.17,3,0.3333333432674408,1.0
0.001,64,van_rossum,2,0.29,3,0.3333333432674408,1.0
0.0005,32,rate,1,0.16,3,1.0986121940612792,1.0
0.0005,32,rate,2,0.27,3,1.0986121940612792,1.0
0.0005,32,membrane,1,0.15,3,3.161161756515503,1.0
0.0005,32,membrane,2,0.28,3,3.161161756515503,1.0
0.0005,32,van_rossum,1,0.17,3,0.3333333432674408,1.0
0.0005,32,van_rossum,2,0.27,3,0.3333333432674408,1.0
0.0005,64,rate,1,0.17,3,1.0986121940612792,1.0
0.0005,64,rate,2,0.28,3,1.0986121940612792,1.0
0.0005,64,membrane,1,0.18,3,0.7537254214286804,1.0
0.0005,64,membrane,2,0.32,3,0.7537254214286804,1.0
0.0005,64,van_rossum,1,0.18,3,0.3333333432674408,1.0
0.0005,64,van_rossum,2,0.3,3,0.3333333432674408,1.0
