Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1776119247.456	    21.148	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_000_lr0.0001_bs8_hs16_ls8_mse_mb16_ep2_lp1.json
2	:	1776119247.459	    21.518	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_001_lr0.0001_bs8_hs16_ls8_mse_mb16_ep2_lp0.json
9	:	1776119247.486	    39.244	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_008_lr0.0001_bs8_hs16_ls8_mse_mb32_ep2_lp1.json
10	:	1776119247.489	    39.370	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_009_lr0.0001_bs8_hs16_ls8_mse_mb32_ep2_lp0.json
3	:	1776119247.463	    48.202	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_002_lr0.0001_bs8_hs16_ls8_mse_mb16_ep5_lp1.json
4	:	1776119247.467	    48.466	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_003_lr0.0001_bs8_hs16_ls8_mse_mb16_ep5_lp0.json
6	:	1776119247.474	    93.166	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_005_lr0.0001_bs8_hs16_ls8_mse_mb16_ep10_lp0.json
11	:	1776119247.492	    94.197	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_010_lr0.0001_bs8_hs16_ls8_mse_mb32_ep5_lp1.json
5	:	1776119247.470	    94.292	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_004_lr0.0001_bs8_hs16_ls8_mse_mb16_ep10_lp1.json
12	:	1776119247.496	    94.763	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_011_lr0.0001_bs8_hs16_ls8_mse_mb32_ep5_lp0.json
17	:	1776119295.730	    76.927	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_016_lr0.0001_bs8_hs16_ls8_mse_mb64_ep2_lp1.json
18	:	1776119295.994	    76.890	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_017_lr0.0001_bs8_hs16_ls8_mse_mb64_ep2_lp0.json
8	:	1776119247.482	   139.742	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_007_lr0.0001_bs8_hs16_ls8_mse_mb16_ep15_lp0.json
7	:	1776119247.478	   140.182	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_006_lr0.0001_bs8_hs16_ls8_mse_mb16_ep15_lp1.json
13	:	1776119268.619	   185.460	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_012_lr0.0001_bs8_hs16_ls8_mse_mb32_ep10_lp1.json
14	:	1776119268.986	   186.361	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_013_lr0.0001_bs8_hs16_ls8_mse_mb32_ep10_lp0.json
20	:	1776119341.815	   181.741	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_019_lr0.0001_bs8_hs16_ls8_mse_mb64_ep5_lp0.json
19	:	1776119340.710	   183.241	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_018_lr0.0001_bs8_hs16_ls8_mse_mb64_ep5_lp1.json
26	:	1776119387.780	   149.450	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_025_lr0.0001_bs8_hs16_ls8_mse_mb128_ep2_lp0.json
25	:	1776119387.419	   150.353	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_024_lr0.0001_bs8_hs16_ls8_mse_mb128_ep2_lp1.json
15	:	1776119286.812	   275.983	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_014_lr0.0001_bs8_hs16_ls8_mse_mb32_ep15_lp1.json
16	:	1776119286.904	   278.766	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_015_lr0.0001_bs8_hs16_ls8_mse_mb32_ep15_lp0.json
33	:	1776119563.099	    22.844	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_032_lr0.0001_bs8_hs16_ls8_mae_mb16_ep2_lp1.json
34	:	1776119565.956	    22.993	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_033_lr0.0001_bs8_hs16_ls8_mae_mb16_ep2_lp0.json
